,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,1549,3192,20075,19214,8777,3833,2547,59187
1999,160,358,130,70,449,1439,3675,21525,16106,12794,4449,1703,62858
2000,87,182,405,92,930,3211,1510,12791,10062,10226,5497,3175,48168
2001,165,699,1134,617,916,4227,1816,17679,15528,14292,8346,4256,69675
2002,590,667,901,405,1490,5702,7529,43484,48549,27110,23660,9174,169261
2003,3704,1573,1997,1038,1983,6848,15918,34765,47789,25341,19631,13813,174400
2004,2178,805,1035,1012,3131,9179,19179,43320,71522,23928,26424,16924,218637
2005,4314,1048,758,832,1746,2954,19364,63764,68560,26624,16790,6966,213720
2006,1973,879,903,709,843,2522,6995,34208,51028,18309,17474,8579,144422
2007,1918,1761,1431,760,1176,3519,6196,46385,73141,28731,16025,5437,186480
2008,938,527,860,569,383,1248,5901,21445,26469,23518,15450,6145,103453
2009,1095,354,584,435,673,1023,2327,9732,20527,19323,19104,6505,81682
2010,1697,1147,1176,633,1026,1911,5868,45018,43933,14798,12167,5240,134614
2011,771,271,427,465,528,1083,2445,8002,16987,9760,9815,7632,58186
2012,1203,438,484,473,855,1875,3095,20687,24067,14814,13259,5469,86719
2013,1181,374,738,518,796,1450,2531,9444,16786,10242,6615,8013,58688
2014,1573,473,1010,632,673,1628,2766,20113,20522,13222,12169,7773,82554
2015,2042,1047,572,762,407,1287,2817,20471,29326,19469,16935,11303,106438
2016,4657,1559,2024,1075,895,1663,6120,18340,20460,14234,11610,5124,87761
2017,796,379,736,618,805,1759,7986,21244,36569,14457,14105,7985,107439
2018,1444,888,1359,513,772,1980,4788,10421,24803,10654,8881,1842,68345
2019,1419,1368,3383,1702,854,1880,5318,30900,19925,7855,11297,3275,89176
2020,1200,1196,1641,789,829,2248,6803,29307,32017,17326,6321,3484,103161
2021,794,864,643,615,1166,1253,-,-,-,-,-,-,5335
Máximo*,4657,1761,3383,1702,3131,9179,19364,63764,73141,28731,26424,16924,218637
Média*,1596,818,1077,669,1007,2704,6267,26223,32778,16774,13037,6625,109349
Mínimo*,87,182,130,70,383,1023,1510,8002,10062,7855,3833,1703,48168
