,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,34,206,462,2642,4280,1185,494,9303
1999,227,155,93,63,24,62,203,458,1117,2080,984,566,6032
2000,16,41,68,56,38,46,73,399,1504,4744,1224,546,8755
2001,40,38,5,30,205,108,390,895,3996,7157,4767,970,18601
2002,93,263,148,123,146,125,277,1252,5099,7728,6193,3975,25422
2003,967,201,191,187,60,108,340,1020,7234,8722,8451,5292,32773
2004,458,94,104,93,115,83,199,976,4848,7707,7689,7400,29766
2005,1283,264,137,65,49,80,287,610,3623,8151,7067,4533,26149
2006,884,227,164,65,31,52,137,697,2550,3998,5253,4432,18490
2007,1123,118,67,129,149,264,704,1878,5239,8515,6939,4266,29391
2008,873,335,147,95,54,63,118,433,2888,6135,7325,5255,23721
2009,1164,171,227,54,15,53,110,292,2746,3059,4866,3936,16693
2010,668,290,292,69,142,166,494,1907,4376,5829,5960,1599,21792
2011,221,135,170,116,76,183,306,862,3486,3489,4271,3246,16561
2012,788,243,404,259,283,370,649,1829,3626,4582,2063,1621,16717
2013,340,207,219,71,73,125,191,561,2452,2164,1889,1567,9859
2014,360,68,104,73,74,168,414,907,2079,2324,1762,1163,9496
2015,428,138,99,86,81,155,285,1203,4079,3909,2599,2071,15133
2016,258,112,56,95,80,158,551,1504,2095,4274,2882,1528,13593
2017,305,81,70,49,64,78,167,795,1759,4030,1792,1814,11004
2018,316,30,58,28,68,196,594,1516,2820,2476,1876,1369,11347
2019,433,73,58,28,59,135,302,1304,2827,4716,3212,1813,14960
2020,293,62,22,38,42,83,265,838,3037,5226,2686,1912,14504
2021,449,244,128,-,-,-,-,-,-,-,-,-,821
Máximo*,1283,335,404,259,283,370,704,1907,7234,8722,8451,7400,32773
Média*,524,152,132,85,88,126,316,983,3310,5013,4041,2668,17394
Mínimo*,16,30,5,28,15,34,73,292,1117,2080,984,494,6032
