,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,1653,3986,14146,17843,8535,1095,448,47706
1999,188,469,82,382,856,1757,3465,11933,14455,8354,1434,475,43850
2000,266,89,114,253,914,2556,2530,6995,10117,9038,1149,372,34393
2001,182,109,69,304,713,3606,3242,9541,16623,7702,1834,609,44534
2002,368,355,391,777,1884,4210,7462,17815,30105,16744,5273,1802,87186
2003,654,587,472,1052,2475,7079,10477,10140,29227,15008,4763,2179,84113
2004,452,376,773,970,2975,7047,8804,12473,33509,15148,8243,2792,93562
2005,587,869,536,1071,1968,3383,7454,14627,24521,23550,5251,1930,85747
2006,1001,413,498,584,1650,3415,6442,11705,16566,7524,5274,1808,56880
2007,755,402,1118,964,2924,7051,10548,35678,49980,22008,4939,1551,137918
2008,421,321,339,590,1320,2632,5229,8643,15477,17024,5486,1452,58934
2009,676,403,461,448,836,1641,4224,6492,9851,5526,4195,1146,35899
2010,717,751,883,1438,2508,6443,12359,35226,52491,14419,4623,1536,133394
2011,456,321,308,703,1376,3378,5366,11387,26468,7656,2889,1374,61682
2012,421,478,764,1092,1896,3817,9362,22737,30053,16515,1830,1635,90600
2013,475,604,613,706,1418,2684,4761,8496,12615,7696,2370,1579,44017
2014,567,315,497,897,1673,3849,6220,15525,15523,16357,3085,1363,65871
2015,1096,383,528,634,1174,3313,4662,12684,23795,19531,4731,2563,75094
2016,392,1048,767,1449,1782,3187,8675,13730,13256,9968,3647,932,58833
2017,491,376,687,696,1428,2858,6258,10815,26975,12393,2345,1440,66762
2018,521,235,842,549,1729,2922,5220,7992,11467,5041,1763,1168,39449
2019,1213,574,936,753,1719,4088,5346,12906,22989,8356,3251,1743,63874
2020,662,709,890,1158,1481,3487,5663,10155,21802,13440,2957,1415,63819
2021,625,607,686,820,2649,2487,-,-,-,-,-,-,7874
Máximo*,1213,1048,1118,1449,2975,7079,12359,35678,52491,23550,8243,2792,137918
Média*,571,463,571,794,1668,3742,6424,13993,22857,12501,3584,1448,68440
Mínimo*,182,89,69,253,713,1641,2530,6492,9851,5041,1095,372,34393
