,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,303,477,687,1678,1260,522,323,5250
1999,299,273,310,163,368,303,563,2581,3306,1688,1222,520,11596
2000,241,186,219,135,204,432,598,1746,1100,2369,230,237,7697
2001,87,120,40,92,185,244,590,1159,1418,997,495,311,5738
2002,251,226,209,352,263,485,1829,6548,6764,4896,2441,1672,25936
2003,1151,682,834,1263,1744,2500,3144,9826,11963,7588,2147,1589,44431
2004,572,469,712,692,318,1335,1558,5778,7396,5344,2624,1316,28114
2005,751,578,866,551,907,939,1721,5494,2632,5719,2331,784,23273
2006,616,782,743,781,1510,1433,3651,6807,5120,1884,1005,546,24878
2007,400,450,672,569,710,1532,1940,5055,7170,6451,3283,979,29211
2008,490,527,478,489,1019,523,2436,3209,4094,3983,2154,930,20332
2009,507,333,617,660,625,687,723,4198,1831,2317,815,626,13939
2010,537,656,390,387,430,1098,1718,6473,5026,2561,835,496,20607
2011,273,362,322,254,552,855,1450,3191,7050,1836,618,444,17207
2012,317,452,689,609,687,500,1052,2810,3082,3077,763,660,14698
2013,412,429,548,488,478,356,1087,2280,2839,1454,508,505,11384
2014,422,434,256,317,445,487,965,3912,3493,4168,432,366,15697
2015,638,389,384,371,349,539,528,2414,3219,2991,1852,1251,14925
2016,579,457,536,732,437,901,3155,4165,4146,1210,763,438,17519
2017,385,309,328,261,187,531,2285,3201,4939,2003,818,347,15594
2018,209,264,321,490,699,613,1813,2338,2309,1243,450,547,11296
2019,608,607,661,276,240,814,1712,4689,4333,2184,1499,554,18177
2020,421,454,549,1013,1028,802,1322,4079,4279,2553,676,336,17512
2021,285,405,808,769,990,495,2820,5087,4756,1501,558,358,18832
2022,379,401,227,-,-,-,-,-,-,-,-,-,1007
Máximo*,1151,782,866,1263,1744,2500,3651,9826,11963,7588,3283,1672,44431
Média*,454,428,500,509,625,779,1631,4072,4331,2970,1210,672,18077
Mínimo*,87,120,40,92,185,244,477,687,1100,997,230,237,5250
