,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,9,31,109,5,62,216
1999,46,19,35,10,8,6,7,7,8,51,31,1053,1281
2000,74,33,10,1,3,-,4,10,7,5,4,60,211
2001,7,32,8,2,4,1,6,24,-,12,23,35,154
2002,213,30,19,2,4,2,178,379,238,18,18,20,1121
2003,41,8,19,63,79,47,252,736,357,121,51,24,1798
2004,38,62,163,121,55,140,232,356,157,252,49,52,1677
2005,102,32,131,61,74,63,153,241,122,46,67,46,1138
2006,29,35,82,111,175,78,188,321,187,62,42,26,1336
2007,18,17,22,60,63,111,201,231,192,42,46,42,1045
2008,41,28,43,135,127,84,129,113,83,78,35,52,948
2009,52,18,42,168,174,83,129,373,34,71,2,6,1152
2010,33,17,34,67,23,29,80,272,132,92,82,95,956
2011,22,16,36,77,73,86,96,130,233,37,75,50,931
2012,61,34,71,36,151,159,220,165,62,40,42,12,1053
2013,28,46,50,57,32,33,95,189,126,59,59,27,801
2014,19,17,39,50,50,53,74,254,57,39,35,21,708
2015,14,18,48,142,122,57,24,86,139,47,12,21,730
2016,37,33,24,23,34,183,199,383,252,57,43,59,1327
2017,15,21,31,41,39,65,262,233,65,55,60,49,936
2018,40,51,63,57,70,33,47,232,67,34,24,24,742
2019,20,32,82,50,23,102,222,446,273,72,30,68,1420
2020,25,72,176,335,309,83,67,380,88,67,45,38,1685
2021,43,32,64,134,234,35,-,-,-,-,-,-,542
Máximo*,213,72,176,335,309,183,262,736,357,252,82,1053,1798
Média*,44,30,56,76,77,71,130,242,132,64,38,84,1016
Mínimo*,7,8,8,1,3,1,4,7,7,5,2,6,154
