,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,12,206,172,542,507,162,58,1659
1999,161,10,17,29,106,65,845,2988,1922,2049,743,52,8987
2000,93,30,19,1,8,29,25,263,503,950,295,74,2290
2001,66,62,11,36,67,219,444,2540,2264,879,175,19,6782
2002,137,28,10,24,29,320,805,2934,2662,2761,2328,448,12486
2003,180,48,36,40,107,170,260,517,1188,715,378,83,3722
2004,185,126,141,68,15,240,384,1164,3963,1912,335,155,8688
2005,20,107,100,163,331,435,1259,5993,2997,933,125,73,12536
2006,28,51,36,19,104,101,375,892,1024,266,254,23,3173
2007,6,13,30,68,101,239,341,1858,5498,1481,189,45,9869
2008,14,13,20,28,48,44,216,588,1660,1046,274,594,4545
2009,380,117,71,525,815,308,311,695,1127,919,414,55,5737
2010,31,47,88,87,67,247,511,1548,3072,1142,385,795,8020
2011,145,22,2,2,20,42,105,309,807,562,873,643,3532
2012,188,83,97,38,115,109,490,2698,2518,832,157,122,7447
2013,108,55,115,51,47,17,129,440,1201,544,513,176,3396
2014,103,64,23,55,16,27,90,134,375,459,184,37,1567
2015,95,51,28,29,36,218,225,1025,1181,794,282,494,4458
2016,37,29,18,34,59,93,542,966,2000,1066,215,125,5184
2017,261,73,68,38,48,93,610,1092,2588,669,214,19,5773
2018,23,8,14,19,28,46,190,275,785,120,20,163,1691
2019,337,211,93,33,68,239,494,1690,2887,2430,1296,247,10025
2020,265,164,602,784,313,406,1684,5935,8106,317,-,-,18576
Máximo*,380,211,141,525,815,435,1259,5993,5498,2761,2328,795,12536
Média*,124,59,49,66,106,151,403,1399,1944,1047,446,205,5980
Mínimo*,6,8,2,1,8,12,25,134,375,120,20,19,1567
