,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,3,35,131,512,44,-,7,732
1999,-,-,-,-,-,-,1,67,212,63,4,-,347
2000,-,-,11,1,1,1,1,136,261,18,-,-,430
2001,-,-,-,-,-,1,3,399,288,137,1,-,829
2002,-,1,-,-,-,-,59,1268,4337,932,139,3,6739
2003,14,-,-,5,18,18,427,3163,5803,1041,30,4,10523
2004,-,4,-,9,21,12,95,1003,5458,633,25,11,7271
2005,20,-,5,2,17,75,1136,7669,6092,943,27,7,15993
2006,7,1,-,2,58,34,186,1507,3737,600,66,-,6198
2007,1,14,5,8,15,76,181,1942,5446,823,38,-,8549
2008,-,-,1,1,23,18,165,1621,2947,856,63,4,5699
2009,-,2,-,2,10,1,59,366,2067,952,50,2,3511
2010,1,-,1,10,33,41,210,2752,5030,523,58,2,8661
2011,2,-,-,4,8,26,130,685,1912,264,152,8,3191
2012,1,-,-,3,15,12,132,1092,2796,627,39,3,4720
2013,-,-,-,46,11,19,98,1045,3331,318,108,4,4980
2014,-,-,1,7,1,23,91,1263,2528,406,70,8,4398
2015,3,2,1,3,2,42,118,1624,2949,912,115,8,5779
2016,13,2,-,1,23,101,588,2526,3863,515,46,6,7684
2017,-,4,-,1,9,39,362,1318,3100,1350,102,10,6295
2018,-,2,1,5,14,41,381,1368,4379,407,26,2,6626
2019,1,1,2,6,33,60,272,3051,2977,354,44,1,6802
2020,16,-,1,4,39,71,335,3578,3357,1652,129,11,9193
2021,5,-,3,7,30,17,-,-,-,-,-,-,62
Máximo*,20,14,11,46,58,101,1136,7669,6092,1652,152,11,15993
Média*,7,3,3,6,18,34,220,1721,3191,625,63,6,5876
Mínimo*,1,1,1,1,1,1,1,67,212,18,1,1,347
