,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,1,14,20,19,32,86
1999,58,19,52,4,1,-,-,3,3,4,15,12,171
2000,11,16,32,20,1,-,-,4,22,13,2,2,123
2001,5,4,-,-,2,2,-,1,5,15,22,30,86
2002,12,15,27,6,1,-,7,5,23,35,58,102,291
2003,147,52,32,22,7,5,4,7,8,18,20,51,373
2004,13,15,34,10,3,1,3,2,11,23,38,80,233
2005,91,47,45,3,-,3,2,9,14,20,32,26,292
2006,36,32,46,7,2,-,3,5,13,39,25,60,268
2007,33,33,12,16,2,1,6,3,12,25,44,75,262
2008,52,83,47,26,8,1,-,3,14,32,73,70,409
2009,112,33,47,5,-,-,1,-,16,26,56,64,360
2010,32,39,87,5,-,2,1,4,17,14,46,52,299
2011,45,35,45,19,-,2,-,11,3,24,26,57,267
2012,43,52,58,18,23,5,1,-,6,31,85,55,377
2013,45,22,36,20,2,2,1,-,5,23,8,37,201
2014,49,26,19,15,1,2,1,3,11,3,9,26,165
2015,64,40,27,46,17,2,-,3,4,28,118,111,460
2016,22,14,10,14,4,5,5,4,15,63,79,153,388
2017,38,16,19,6,1,1,-,1,4,12,11,20,129
2018,17,16,13,2,-,6,-,12,7,52,41,35,201
2019,32,9,11,5,5,3,2,6,12,20,60,67,232
2020,45,21,12,5,1,-,3,5,4,25,10,28,159
2021,21,37,34,24,1,-,-,2,8,15,20,11,173
2022,19,29,24,3,3,-,1,-,12,1,-,-,92
Máximo*,147,83,87,46,23,6,7,12,23,63,118,153,460
Média*,44,29,34,14,5,3,3,4,10,24,38,52,250
Mínimo*,5,4,10,2,1,1,1,1,3,3,2,2,86
