,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,1,20,41,131,84,277
1999,-,1,2,-,-,2,-,-,4,25,26,41,101
2000,2,-,-,-,-,-,-,3,19,42,157,30,253
2001,-,-,-,-,-,-,1,12,95,193,406,593,1300
2002,7,2,-,-,3,-,2,21,152,710,1473,294,2664
2003,35,-,5,3,1,3,1,21,135,526,1117,669,2516
2004,58,1,-,1,1,7,4,18,117,534,1406,1266,3413
2005,194,1,-,-,1,3,1,15,139,509,1054,103,2020
2006,10,1,-,4,-,-,-,27,159,565,637,262,1665
2007,12,1,2,-,-,-,19,10,146,485,753,56,1484
2008,4,1,2,2,-,2,4,14,133,651,1182,158,2153
2009,8,-,-,2,2,1,4,23,214,951,1115,136,2456
2010,4,-,3,-,2,-,3,2,72,358,490,66,1000
2011,-,3,-,-,2,1,4,12,140,381,407,446,1396
2012,34,8,3,2,3,8,6,31,173,583,1157,510,2518
2013,2,2,1,2,1,6,1,18,126,560,613,197,1529
2014,25,2,2,1,-,2,5,19,161,592,653,386,1848
2015,27,-,1,-,-,2,4,26,198,927,1424,327,2936
2016,16,1,-,-,3,2,1,39,150,816,1104,463,2595
2017,2,-,-,3,2,2,3,28,88,440,972,406,1946
2018,14,1,-,1,1,3,4,38,123,571,450,-,1206
2019,4,-,-,-,-,-,4,21,138,540,503,67,1277
2020,2,1,1,-,-,3,2,16,84,527,76,38,750
2021,-,1,1,-,-,4,5,19,137,401,103,5,676
2022,8,1,-,-,-,-,-,-,-,-,-,-,9
Máximo*,194,8,5,4,3,8,19,39,214,951,1473,1266,3413
Média*,24,2,2,2,2,3,4,19,122,497,725,287,1666
Mínimo*,2,1,1,1,1,1,1,1,4,25,26,5,101
