,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2,72,320,263,82,6,196,941
1999,3,43,7,2,-,7,11,255,214,476,28,2,1048
2000,7,62,69,18,51,6,39,180,193,145,27,60,857
2001,3,8,6,1,-,5,9,499,168,332,244,22,1297
2002,17,2,5,2,8,5,338,1790,2916,1824,1221,267,8395
2003,379,129,94,42,24,36,655,3017,2594,1851,780,590,10191
2004,277,129,20,26,11,43,364,1850,2436,1564,988,375,8083
2005,225,16,15,8,36,130,1894,5981,4931,1499,833,76,15644
2006,79,31,30,28,20,156,574,3399,4254,2181,588,357,11697
2007,106,167,14,18,16,180,607,3990,3521,1663,833,178,11293
2008,45,48,25,35,12,42,457,2538,1716,1156,533,94,6701
2009,34,9,19,11,4,31,246,1799,3595,2409,983,140,9280
2010,93,76,64,9,37,113,788,5261,4021,1137,400,140,12139
2011,59,6,23,7,16,32,330,1543,1524,844,502,142,5028
2012,8,8,5,8,15,58,316,3616,2731,1484,749,116,9114
2013,43,4,23,26,21,81,359,1981,2204,1235,258,277,6512
2014,71,17,30,20,17,73,253,3604,3148,794,692,289,9008
2015,38,71,25,20,11,34,365,4235,5004,2233,909,474,13419
2016,654,252,105,13,26,84,1087,3652,2785,1913,497,105,11173
2017,62,21,24,15,33,95,1534,4793,3185,1190,486,247,11685
2018,46,93,54,14,19,123,1346,2589,4928,1725,472,37,11446
2019,35,90,114,10,21,57,1371,6668,3026,548,573,163,12676
2020,197,73,77,12,15,122,2119,8030,4270,122,-,-,15037
Máximo*,654,252,114,42,51,180,1894,6668,5004,2409,1221,590,15644
Média*,109,61,37,16,21,63,592,2889,2698,1286,573,198,8528
Mínimo*,3,2,5,1,4,2,9,180,168,82,6,2,857
