,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,55,219,813,2719,1970,49,82,5907
1999,114,157,83,55,76,62,107,453,1273,1308,49,37,3774
2000,31,32,65,23,71,176,199,629,2284,3350,114,24,6998
2001,25,101,4,26,84,98,245,978,3957,1687,699,158,8062
2002,124,204,146,108,164,116,611,1812,7167,5415,1169,1012,18048
2003,560,306,401,512,226,362,557,1078,9547,4515,655,865,19584
2004,201,193,179,200,251,306,355,1512,7395,5701,2016,674,18983
2005,414,227,234,180,168,240,424,1141,4244,9031,1801,343,18447
2006,315,433,291,117,172,220,482,1318,3171,2395,810,494,10218
2007,451,136,249,240,417,619,1375,4270,10076,7548,3308,779,29468
2008,376,281,201,229,217,207,554,1032,4961,7949,4599,175,20781
2009,227,175,329,56,48,117,340,450,3580,2742,525,367,8956
2010,368,272,192,136,254,430,663,2635,5780,5375,694,264,17063
2011,135,177,158,204,225,376,578,1524,6967,2306,197,289,13136
2012,226,242,472,428,335,387,909,1810,6815,4529,214,529,16896
2013,161,282,441,125,176,228,378,602,2617,1866,248,107,7231
2014,123,84,128,157,201,235,235,606,2472,2515,308,126,7190
2015,240,124,183,122,133,233,300,791,6921,4695,1569,1202,16513
2016,240,340,237,193,240,388,340,727,1729,1312,402,163,6311
2017,150,91,160,91,124,213,234,809,1146,3144,222,66,6450
2018,102,45,126,71,101,190,281,477,1930,1345,169,119,4956
2019,212,432,475,141,142,186,337,542,1896,1783,924,301,7371
2020,164,153,92,98,95,244,341,437,1918,374,-,-,3916
Máximo*,560,433,475,512,417,619,1375,4270,10076,9031,4599,1202,29468
Média*,228,206,226,163,182,247,442,1182,4484,3749,943,372,12379
Mínimo*,25,32,4,23,48,55,107,450,1146,1308,49,24,3774
