,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,1,76,95,601,1019,575,277,2644
1999,47,17,30,6,5,16,84,135,132,314,526,396,1708
2000,1,7,10,16,7,16,20,81,130,876,671,389,2224
2001,11,-,-,2,81,38,147,224,808,2051,2461,545,6368
2002,33,76,17,6,10,13,23,136,241,1954,3259,2409,8177
2003,323,10,6,4,7,9,41,133,420,2465,4760,3448,11626
2004,213,11,3,1,7,8,22,69,207,1610,3615,4816,10582
2005,476,41,7,7,2,7,33,71,187,1659,3434,2600,8524
2006,298,31,8,4,-,3,18,80,265,932,2077,2451,6167
2007,428,5,7,5,11,14,35,237,354,1457,2639,2335,7527
2008,230,29,-,-,-,6,13,58,199,1014,2668,3414,7631
2009,464,16,1,-,1,-,9,32,93,526,1978,2327,5447
2010,355,76,46,11,6,21,58,206,383,676,2327,769,4934
2011,39,9,3,1,4,7,24,42,226,478,2062,1903,4798
2012,308,44,13,2,23,33,50,267,512,1102,1165,789,4308
2013,135,55,24,7,9,12,8,36,177,472,986,910,2831
2014,119,9,4,3,4,15,39,133,136,444,761,660,2327
2015,189,20,14,-,17,17,23,118,183,603,1009,965,3158
2016,103,12,6,11,7,32,106,286,335,1241,1373,804,4316
2017,91,10,4,3,6,6,15,98,336,793,953,1171,3486
2018,166,6,8,1,2,17,29,202,429,591,860,723,3034
2019,194,12,3,1,3,9,18,138,460,1373,1324,769,4304
2020,94,8,2,-,3,12,63,209,440,913,1279,956,3979
2021,187,64,13,6,13,25,35,258,411,905,1680,782,4379
2022,37,21,8,1,3,15,37,140,209,129,-,-,600
Máximo*,476,76,46,16,81,38,147,286,808,2465,4760,4816,11626
Média*,196,26,11,5,11,15,41,139,319,1061,1852,1525,5187
Mínimo*,1,5,1,1,1,1,8,32,93,314,526,277,1708
