,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,172,512,2216,2870,1036,48,13,6867
1999,14,334,1,25,98,252,311,1198,1898,743,111,20,5005
2000,10,11,4,16,58,222,332,925,1294,906,26,6,3810
2001,28,9,10,49,85,209,370,788,1861,477,15,18,3919
2002,12,9,48,78,171,303,792,1498,4412,1665,273,118,9379
2003,13,55,34,127,265,855,867,975,1978,1318,212,175,6874
2004,15,14,59,84,313,515,852,1618,3544,1548,356,94,9012
2005,30,110,46,150,269,248,536,970,1565,2018,169,17,6128
2006,104,28,42,61,192,298,502,948,1630,270,254,58,4387
2007,48,20,104,83,349,690,925,2948,4978,2169,240,85,12639
2008,33,25,23,64,200,209,552,987,1464,1425,195,63,5240
2009,47,45,60,37,136,201,481,638,709,413,111,42,2920
2010,60,100,96,144,280,723,1224,3336,5906,1418,79,53,13419
2011,40,56,26,111,161,333,600,1549,2250,539,76,25,5766
2012,22,29,71,116,123,254,556,899,2334,1450,64,113,6031
2013,43,67,74,61,187,202,356,527,735,567,162,69,3050
2014,60,34,54,117,197,302,424,1201,1568,1728,160,52,5897
2015,105,43,48,58,117,263,320,876,2033,1607,490,147,6107
2016,27,69,107,152,210,261,815,1038,1571,488,115,59,4912
2017,46,64,91,58,138,308,433,1109,2155,1858,125,43,6428
2018,54,41,113,74,181,183,405,518,1070,345,36,90,3110
2019,129,88,138,83,134,217,403,698,4149,873,160,88,7160
2020,60,92,124,156,150,314,402,964,1227,-,-,-,3489
Máximo*,129,334,138,152,349,855,1224,3336,5906,2169,490,175,13419
Média*,45,60,59,83,184,328,571,1248,2362,1130,158,66,6275
Mínimo*,10,9,1,16,58,172,311,518,709,270,15,6,2920
