,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,82,360,228,457,576,307,101,2111
1999,239,69,100,97,206,125,1297,4356,2971,2056,1195,306,13017
2000,326,81,23,90,127,157,160,530,509,657,274,139,3073
2001,97,90,39,108,112,250,590,2450,1384,563,220,143,6046
2002,305,98,115,230,88,520,1064,4183,2930,2586,1938,486,14543
2003,238,142,159,177,273,499,571,1002,1185,710,476,180,5612
2004,375,271,323,175,58,550,598,1605,3070,1104,312,175,8616
2005,71,301,261,251,483,557,1364,6141,2291,806,226,152,12904
2006,72,149,166,106,298,285,728,1570,1199,333,250,88,5244
2007,23,137,179,169,242,530,592,2279,5380,1268,245,95,11139
2008,59,108,128,116,152,163,358,823,1754,515,182,472,4830
2009,310,173,150,639,866,434,369,818,1165,895,409,85,6313
2010,80,167,178,162,132,408,701,1901,2197,746,335,349,7356
2011,148,66,47,31,106,117,270,567,1048,348,439,544,3731
2012,187,127,192,105,154,110,553,2782,2166,689,150,213,7428
2013,161,107,160,93,96,46,226,715,1088,393,368,162,3615
2014,156,119,72,113,68,81,190,296,343,529,175,72,2214
2015,176,106,119,54,54,289,355,1200,1263,451,228,322,4617
2016,108,119,101,141,98,132,673,1292,2292,1070,235,112,6373
2017,322,146,164,69,69,150,817,1159,2084,541,136,80,5737
2018,47,50,163,94,100,131,333,442,642,124,56,198,2380
2019,542,290,159,70,113,397,748,2430,3210,2310,1243,141,11653
2020,226,250,575,813,355,508,1305,2508,3097,305,-,-,9942
Máximo*,542,301,323,639,866,557,1364,6141,5380,2586,1938,544,14543
Média*,192,139,143,147,185,273,587,1762,1847,876,427,210,6752
Mínimo*,23,50,23,31,54,46,160,228,343,124,56,72,2111
