,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,58,639,6816,6237,3666,1862,1009,20287
1999,87,285,7,6,4,37,982,6179,4417,5026,2682,766,20478
2000,30,29,181,40,12,59,426,5484,2569,4308,3366,1697,18201
2001,34,16,-,-,7,42,709,9042,6136,5102,4936,2566,28590
2002,144,120,14,11,18,149,1308,21369,11379,7848,12795,5083,60238
2003,1440,23,28,14,112,403,3814,8875,12633,6673,10732,8293,53040
2004,875,36,29,61,193,637,6620,17861,14249,7464,15958,10231,74214
2005,2861,121,32,43,101,656,9464,23635,12728,8689,9368,3779,71477
2006,855,110,18,11,8,423,1955,15064,13225,9346,9684,5141,55840
2007,817,39,17,17,90,671,1885,21386,22055,8346,10114,3054,68491
2008,240,99,11,12,30,328,3020,11035,9463,11568,9456,3187,48449
2009,466,26,11,15,8,91,703,5386,8961,9444,12485,4068,41664
2010,701,147,141,30,97,441,2065,21677,15187,6435,7544,2731,57196
2011,219,25,16,10,21,199,1024,3040,6821,4588,5760,4840,26563
2012,534,78,16,24,98,305,1041,9168,8190,5946,8871,2950,37221
2013,291,47,20,29,74,323,793,3173,4363,5510,3844,5579,24046
2014,570,30,17,23,55,284,813,8147,6636,6241,7908,4802,35526
2015,866,92,31,22,84,241,882,7672,9394,7379,9783,6718,43164
2016,1479,370,53,51,148,509,1732,5185,3878,5954,7314,3051,29724
2017,213,14,18,42,121,486,3696,8781,15735,6146,9639,4879,49770
2018,536,36,51,13,78,454,929,2782,4892,5028,6276,1005,22080
2019,355,80,46,38,80,315,1443,10185,4618,3870,7390,1745,30165
2020,225,64,63,38,88,491,2687,10865,10876,8052,2970,2184,38603
2021,248,272,34,55,190,424,1372,7853,3828,4291,3659,650,22876
2022,202,70,34,37,225,556,1681,12472,12696,1647,-,-,29620
Máximo*,2861,370,181,61,193,671,9464,23635,22055,11568,15958,10231,74214
Média*,612,94,39,28,75,334,2083,10444,9103,6538,7683,3750,40746
Mínimo*,30,14,7,6,4,37,426,2782,2569,3666,1862,650,18201
