,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,1,5,12,172,376,140,59,765
1999,102,14,27,2,6,7,2,3,57,174,39,16,449
2000,3,4,14,1,7,4,-,31,134,408,64,22,692
2001,7,2,-,2,5,2,6,27,296,455,203,62,1067
2002,10,19,24,5,13,1,7,34,439,657,516,260,1985
2003,202,43,13,10,10,4,12,35,575,989,634,243,2770
2004,41,12,12,10,5,8,17,43,219,659,528,449,2003
2005,238,43,46,7,2,3,4,15,164,452,474,363,1811
2006,151,49,25,8,5,1,4,13,143,365,603,392,1759
2007,145,18,6,9,6,5,11,23,205,833,557,339,2157
2008,184,60,34,7,2,1,6,8,95,303,517,403,1620
2009,286,31,24,7,1,2,2,8,165,267,528,393,1714
2010,62,54,69,6,8,5,11,27,181,387,951,158,1919
2011,67,25,50,26,3,5,3,29,205,530,401,378,1722
2012,161,75,68,49,44,16,11,25,171,265,177,123,1185
2013,56,33,39,8,9,14,7,14,136,157,102,121,696
2014,81,20,32,7,2,4,11,16,60,172,97,91,593
2015,101,48,27,26,12,2,12,21,107,172,263,159,950
2016,22,22,3,8,3,4,14,33,137,274,196,158,874
2017,52,24,9,8,13,4,1,18,54,216,91,73,563
2018,35,7,8,5,2,13,6,35,95,215,186,115,722
2019,67,9,15,11,12,5,5,14,76,204,246,176,840
2020,105,36,14,11,2,10,16,18,128,270,214,193,1017
2021,63,59,47,25,3,19,14,41,156,367,278,120,1192
2022,47,29,10,5,13,5,11,35,171,89,-,-,415
Máximo*,286,75,69,49,44,19,17,43,575,989,951,449,2770
Média*,97,31,28,11,8,6,8,23,174,382,334,203,1294
Mínimo*,3,2,3,1,1,1,1,3,54,157,39,16,449
