,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,46,188,712,1993,2581,425,119,6064
1999,21,22,4,10,8,47,124,498,873,1441,336,75,3459
2000,5,12,14,15,25,18,75,416,1095,2559,447,79,4760
2001,29,-,2,1,36,88,338,1131,2468,3805,1489,233,9620
2002,32,159,63,87,84,164,558,2288,3035,2767,1369,537,11143
2003,109,6,14,25,64,213,738,884,3711,2690,1765,639,10858
2004,55,25,41,25,126,252,579,1018,3181,2580,2139,1165,11186
2005,111,34,8,15,27,192,636,1124,3351,3625,1830,921,11874
2006,176,27,16,4,26,123,369,1244,1685,1728,1693,776,7867
2007,152,18,43,44,147,656,1571,4187,5406,3512,1505,737,17978
2008,71,24,5,9,40,106,237,532,1572,2125,1092,843,6656
2009,114,19,24,10,12,64,316,818,1785,1046,1660,673,6541
2010,116,75,36,63,253,456,1826,4102,5983,4119,1746,417,19192
2011,47,12,24,22,82,507,874,1843,4389,1693,1209,461,11163
2012,100,38,74,120,352,865,1746,3615,4057,2639,530,401,14537
2013,78,70,15,34,49,272,371,1033,2301,1241,590,430,6484
2014,91,12,78,57,131,372,1151,2169,2494,1657,670,328,9210
2015,77,24,31,41,57,268,706,2039,5151,4000,842,603,13839
2016,93,83,33,31,53,151,746,1730,1344,2544,1130,365,8303
2017,82,19,28,23,45,142,510,1257,2192,2342,552,465,7657
2018,84,8,43,11,118,382,1067,2479,2678,1641,591,329,9431
2019,115,35,46,25,67,340,561,2117,3137,2671,1211,569,10894
2020,47,38,28,35,54,148,511,919,1617,-,-,-,3397
Máximo*,176,159,78,120,352,865,1826,4187,5983,4119,2139,1165,19192
Média*,84,36,31,32,86,260,695,1693,2904,2500,1128,508,9942
Mínimo*,5,6,2,1,8,18,75,416,873,1046,336,75,3459
