,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,1,5,4,49,55,41,17,172
1999,32,10,9,21,1,4,7,38,35,40,61,29,287
2000,1,7,10,16,3,9,4,30,17,28,9,11,145
2001,2,-,-,10,56,13,23,55,43,34,40,20,296
2002,4,17,3,-,6,1,11,52,74,181,223,259,831
2003,123,20,4,1,6,12,13,108,118,344,462,336,1547
2004,43,8,-,3,5,9,5,18,59,120,211,344,825
2005,161,51,23,3,5,2,9,13,43,215,278,198,1001
2006,106,21,18,4,4,1,2,19,54,89,232,184,734
2007,78,11,5,6,12,1,14,33,74,133,219,188,774
2008,90,39,5,3,2,2,1,4,21,80,147,203,597
2009,116,13,2,5,-,-,2,1,26,89,181,224,659
2010,37,20,28,9,2,2,9,30,58,105,262,66,628
2011,15,3,5,-,2,-,-,10,30,94,153,152,464
2012,66,16,12,4,17,5,4,28,36,75,90,79,432
2013,23,26,7,8,2,2,-,3,6,63,71,39,250
2014,32,7,4,2,1,1,2,19,26,69,109,45,317
2015,38,14,3,5,4,6,3,16,33,115,87,78,402
2016,13,2,2,2,1,5,10,23,38,109,98,75,378
2017,27,13,3,6,2,2,3,14,28,84,103,66,351
2018,23,6,12,3,1,6,8,47,71,87,128,64,456
2019,20,5,2,1,-,1,4,52,81,235,230,99,730
2020,37,5,3,2,-,1,7,30,106,175,143,155,664
2021,63,39,16,10,7,14,7,21,38,122,136,90,563
2022,15,3,3,1,2,2,1,13,1,-,-,-,41
Máximo*,161,51,28,21,56,14,23,108,118,344,462,344,1547
Média*,50,16,8,6,7,5,7,28,48,114,155,126,563
Mínimo*,1,2,2,1,1,1,1,1,6,28,9,11,145
