,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,27,366,2254,3756,486,3,33,6925
1999,1,1,8,3,3,10,135,1977,3059,1884,41,-,7122
2000,-,6,9,-,15,54,120,2200,2440,641,13,7,5505
2001,-,2,-,-,7,31,74,2133,1929,797,92,1,5066
2002,6,8,1,3,15,143,741,5484,15903,5410,875,102,28691
2003,69,14,12,18,102,230,1682,9052,10782,7593,750,253,30557
2004,31,16,28,27,32,297,1734,9259,23419,5089,681,268,40881
2005,122,41,16,26,61,261,1947,12801,20907,4718,671,78,41649
2006,14,19,15,9,105,232,1057,6348,14939,1895,1028,41,25702
2007,44,5,27,10,65,314,587,6769,14051,5343,235,50,27500
2008,6,12,2,12,20,79,475,2840,5122,2548,420,24,11560
2009,25,2,15,6,10,26,133,609,2426,1910,214,25,5401
2010,26,9,13,43,70,223,871,5837,7575,1724,351,228,16970
2011,2,11,6,12,59,169,320,1358,2460,1281,357,45,6080
2012,6,9,20,21,35,55,253,2561,3141,1866,271,74,8312
2013,16,8,30,27,19,32,159,1102,2472,510,103,135,4613
2014,11,4,11,16,26,99,209,2846,2806,978,187,141,7334
2015,24,17,10,12,13,120,417,3669,5200,2470,901,260,13113
2016,85,71,30,56,52,174,947,3551,3916,2041,413,138,11474
2017,43,15,23,20,29,152,1007,3249,4568,1726,423,58,11313
2018,15,7,28,7,41,148,769,1975,6034,986,198,47,10255
2019,33,22,28,26,50,170,780,5593,3644,556,263,65,11230
2020,56,39,38,33,58,138,428,3087,4202,2413,509,144,11145
2021,47,16,19,16,91,131,836,4319,2636,1763,125,31,10030
2022,80,17,17,24,136,106,555,3512,477,-,-,-,4924
Máximo*,122,71,38,56,105,314,1947,12801,23419,7593,1028,268,41649
Média*,32,15,18,19,43,138,669,4203,6974,2360,380,98,14934
Mínimo*,1,1,1,3,3,10,74,609,1929,486,3,1,4613
