,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,1,-,2,1,1,16,21
1999,15,20,98,16,-,3,4,1,3,10,15,35,220
2000,18,57,125,-,7,-,-,9,12,25,32,77,362
2001,101,646,1107,380,9,1,1,4,1,13,76,76,2415
2002,302,476,819,41,-,-,11,18,91,238,188,282,2466
2003,761,1063,1486,354,6,4,-,6,8,24,52,223,3987
2004,522,349,449,262,9,9,2,22,15,71,210,301,2221
2005,155,207,441,56,6,10,8,16,108,121,175,158,1461
2006,98,441,524,376,5,-,1,21,56,161,96,410,2189
2007,288,1347,927,184,2,3,15,4,19,69,357,29,3244
2008,371,223,702,278,22,3,-,13,30,112,165,31,1950
2009,65,212,293,279,277,19,21,41,148,261,394,349,2359
2010,457,634,536,19,6,1,2,7,27,87,39,103,1918
2011,307,140,158,156,9,9,10,47,66,81,181,311,1475
2012,239,172,183,49,21,29,3,8,89,201,257,125,1376
2013,482,71,265,113,6,6,4,4,39,116,125,164,1395
2014,557,332,603,183,63,5,9,16,80,65,197,409,2519
2015,411,571,175,307,14,5,5,14,86,194,298,372,2452
2016,1958,185,1195,154,22,10,1,17,18,107,69,134,3870
2017,108,124,251,75,27,4,3,33,40,150,421,329,1565
2018,480,558,727,191,10,5,4,7,17,141,120,123,2383
2019,383,629,2433,1134,21,2,4,5,26,53,58,36,4784
2020,297,483,695,165,11,4,9,14,62,113,19,58,1930
2021,63,137,204,110,3,11,5,19,54,125,174,84,989
2022,371,148,46,-,-,-,-,-,-,-,-,-,565
Máximo*,1958,1347,2433,1134,277,29,21,47,148,261,421,410,4784
Média*,367,395,626,222,26,7,6,15,46,106,155,176,2065
Mínimo*,15,20,98,16,2,1,1,1,1,1,1,16,21
