,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2,-,-,6,4,21,26,59
1999,11,2,7,-,1,-,2,51,101,16,84,89,364
2000,14,8,46,7,-,2,21,68,36,55,19,29,305
2001,11,-,1,1,2,1,5,25,18,26,66,45,201
2002,22,5,12,7,3,-,323,1263,1189,74,554,143,3595
2003,92,64,111,290,492,339,414,2611,1641,883,482,229,7648
2004,63,64,141,185,40,369,243,1357,943,1056,454,115,5030
2005,61,79,189,116,175,197,392,1357,208,225,500,83,3582
2006,74,35,90,227,346,220,707,1862,769,379,212,65,4986
2007,27,37,68,47,36,162,186,848,771,245,164,98,2689
2008,37,59,32,59,217,76,438,585,399,78,132,133,2245
2009,40,18,65,139,102,77,76,1133,82,286,67,36,2121
2010,6,19,25,36,3,40,171,1111,377,191,118,66,2163
2011,20,1,18,21,85,121,81,350,772,151,100,52,1772
2012,25,34,111,57,160,111,102,718,274,63,120,45,1820
2013,27,11,30,105,98,81,215,454,370,116,80,76,1663
2014,51,25,17,35,40,3,83,521,202,123,45,35,1180
2015,18,15,31,36,70,101,46,382,160,21,8,18,906
2016,64,2,20,33,36,104,610,795,677,56,144,20,2561
2017,46,27,20,28,35,66,461,558,491,40,164,69,2005
2018,9,48,22,150,77,52,161,574,126,74,53,71,1417
2019,41,10,22,12,3,104,189,939,272,68,63,81,1804
2020,35,36,132,308,286,102,89,977,203,172,69,16,2425
2021,5,63,68,199,181,26,481,843,271,20,108,86,2351
2022,42,80,13,-,-,-,-,-,-,-,-,-,135
Máximo*,92,79,189,308,492,369,707,2611,1641,1056,554,229,7648
Média*,35,30,56,95,113,107,239,843,432,184,159,72,2287
Mínimo*,5,1,1,1,1,1,2,25,6,4,8,16,59
