,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,451,597,580,525,433,487,121,3194
1999,7,47,78,291,500,522,683,1210,910,763,400,47,5458
2000,36,25,27,102,300,605,770,915,581,647,96,23,4127
2001,26,25,35,61,211,345,539,587,423,441,168,52,2913
2002,19,19,111,178,319,562,645,909,483,699,129,77,4150
2003,67,184,96,165,385,757,885,1194,1104,475,207,78,5597
2004,56,91,122,112,215,448,529,1012,1104,248,230,166,4333
2005,24,131,130,213,401,396,525,1161,291,264,206,90,3832
2006,107,91,186,285,587,667,1011,1096,840,233,170,94,5367
2007,43,179,267,202,392,611,423,754,779,601,130,95,4476
2008,47,34,110,132,282,178,579,489,589,120,86,150,2796
2009,33,87,106,199,219,231,159,347,148,105,81,48,1763
2010,56,183,153,148,254,635,943,2444,1923,327,153,72,7291
2011,75,76,46,76,217,318,581,1159,1211,250,110,64,4183
2012,49,107,138,121,108,63,235,521,908,259,74,79,2662
2013,51,100,60,172,170,70,243,602,590,133,105,92,2388
2014,66,94,58,93,178,312,462,1440,843,850,48,40,4484
2015,82,37,45,70,63,144,139,627,344,199,18,40,1808
2016,56,107,65,293,138,196,734,840,506,172,35,44,3186
2017,21,88,76,37,45,152,616,734,1930,134,35,34,3902
2018,41,26,124,85,317,292,1070,350,598,27,16,73,3019
2019,90,35,85,78,81,290,393,742,872,308,60,40,3074
2020,69,103,127,252,262,262,558,1111,2254,995,115,15,6123
2021,29,72,98,69,140,136,808,2277,1663,95,41,41,5469
2022,76,120,64,47,139,90,345,315,258,18,-,-,1472
Máximo*,107,184,267,293,587,757,1070,2444,2254,995,487,166,7291
Média*,50,84,102,149,251,360,589,963,892,366,133,70,3983
Mínimo*,7,19,27,37,45,63,139,347,148,27,16,15,1763
