,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,-,-,-,12,8,20
1999,36,25,18,6,-,-,-,-,-,-,3,5,93
2000,1,6,6,1,-,-,-,-,-,3,-,-,17
2001,2,2,1,-,3,-,-,-,1,5,5,5,24
2002,1,6,7,12,-,-,-,2,2,20,69,126,245
2003,210,63,76,51,5,-,3,-,6,4,5,45,468
2004,21,17,62,21,13,-,-,1,1,2,53,97,288
2005,111,40,44,13,1,-,-,-,2,13,27,42,293
2006,40,52,68,11,-,-,-,2,-,5,10,38,226
2007,60,30,4,6,-,1,-,-,-,9,18,63,191
2008,113,77,51,7,2,-,-,1,-,1,30,31,313
2009,78,72,42,20,-,1,-,-,-,2,11,27,253
2010,34,37,46,4,1,-,-,-,-,-,20,23,165
2011,42,40,65,19,-,2,2,2,-,6,5,48,231
2012,40,36,87,40,16,3,1,-,-,-,6,22,251
2013,32,47,59,14,2,1,-,-,1,3,6,9,174
2014,18,16,26,7,1,-,-,-,1,3,8,9,89
2015,37,33,45,24,9,3,-,-,1,4,41,44,241
2016,7,15,25,13,9,-,-,2,2,7,18,36,134
2017,30,12,17,8,1,-,-,-,-,-,1,8,77
2018,14,18,22,13,1,2,2,5,2,16,16,29,140
2019,31,13,12,2,4,-,-,-,-,1,2,16,81
2020,29,9,5,6,5,-,-,1,-,4,3,15,77
2021,12,31,56,8,1,2,-,-,-,5,7,10,132
2022,5,12,16,-,-,-,-,-,-,-,-,-,33
Máximo*,210,77,87,51,16,3,3,5,6,20,69,126,468
Média*,43,30,37,14,5,2,2,2,2,6,16,33,176
Mínimo*,1,2,1,1,1,1,1,1,1,1,1,5,17
