,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2620,5706,29680,29624,13158,4178,2640,87606
1999,221,385,153,116,764,2401,5681,29133,24602,17826,4999,1782,88063
2000,133,202,463,123,1371,4848,2657,16813,15473,14525,6207,3310,66125
2001,228,733,1137,711,1283,7117,3715,23902,25897,19264,9054,4402,97443
2002,720,765,989,761,2769,8794,11661,53377,64827,35967,27519,10014,218163
2003,4139,1819,2208,1556,3539,11394,22480,40505,63683,33799,22282,14866,222270
2004,2356,958,1408,1542,5155,14493,24899,49930,91745,33323,31697,18139,275645
2005,4618,1427,967,1343,2881,5177,24071,73683,85108,37464,19488,7767,263994
2006,2444,1056,1095,897,1492,4602,10456,40473,60858,22717,20800,9218,176108
2007,2269,1879,1896,1254,2718,7552,11785,67774,101816,40605,17925,5921,263394
2008,1111,637,979,799,963,2975,8693,26274,34735,32389,18065,6873,134493
2009,1575,510,784,610,1038,2055,4764,13170,25876,22393,21596,6889,101260
2010,2060,1413,1636,1572,2529,5928,13228,67077,77294,21603,15105,6329,215774
2011,964,350,573,819,1227,2930,4846,12653,28347,14375,11715,8483,87282
2012,1370,576,766,998,1883,4169,8364,35263,40325,22694,14155,6087,136650
2013,1408,579,1063,889,1593,3195,5415,14780,24511,14873,8057,8658,85021
2014,1820,585,1216,1138,1687,4213,6427,29861,28729,21786,13923,8443,119828
2015,2611,1251,858,1153,1202,3610,5808,28589,40452,29112,19055,12665,146366
2016,4868,2188,2497,2049,2061,3831,12050,27391,28295,19771,13529,5516,124046
2017,1056,522,1121,1100,1792,3615,11779,27712,55994,20464,15711,8545,149411
2018,1720,992,1764,828,1909,3846,7572,15001,31140,13322,9948,2366,90408
2019,1852,1675,3943,2193,2141,4838,8567,39176,32602,11848,12948,4306,126089
2020,1702,1604,2294,1556,1798,4596,10639,39253,50631,2634,-,-,116707
Máximo*,4868,2188,3943,2193,5155,14493,24899,73683,101816,40605,31697,18139,275645
Média*,1883,976,1310,1069,2000,5191,10028,34646,45997,23331,15362,7419,148884
Mínimo*,133,202,153,116,764,2055,2657,12653,15473,11848,4178,1782,66125
