,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2456,4600,17896,13718,4320,537,190,43717
1999,292,433,119,198,1034,2581,5538,24132,16607,8918,2149,373,62374
2000,380,127,87,165,1379,4738,1842,7523,8057,7643,802,243,32986
2001,169,154,73,466,1388,7103,2536,11018,11745,7584,608,199,43043
2002,489,129,266,950,2782,8709,8826,22641,26090,15136,5459,1732,93209
2003,1134,764,734,1234,3304,10424,13799,14861,23121,8700,3131,2001,83207
2004,651,682,1204,1207,4435,12600,14710,19358,40818,14079,3493,1715,114952
2005,541,1362,730,1411,3015,3505,8481,25310,31555,12694,1939,733,91276
2006,1176,591,682,596,1512,2991,5829,12557,20228,3422,3215,451,53250
2007,542,437,963,1064,2153,4831,5821,23755,47688,14750,1510,717,104231
2008,324,341,380,539,881,1530,3446,7140,12913,9726,1367,1132,39719
2009,973,421,589,931,1618,1789,2612,3819,5570,4485,1250,334,24391
2010,468,712,939,1207,1816,3395,6062,22877,32447,7607,1335,1536,80401
2011,394,271,374,610,912,1542,1990,4823,10067,3420,1713,1022,27138
2012,388,356,682,785,1235,2301,3256,10161,15187,5630,702,898,41581
2013,480,549,871,565,1247,1641,2318,5014,7771,2791,1436,641,25324
2014,460,288,608,890,1077,2085,2754,8011,8547,6945,1171,471,33307
2015,1002,545,684,750,610,1881,2151,6627,12293,7805,2390,1882,38620
2016,435,952,1143,1648,1250,1736,4867,8533,12198,4281,1206,570,38819
2017,826,505,953,836,1057,1939,3378,6964,19156,6188,1189,372,43363
2018,418,357,1042,594,1268,1938,2583,3625,8391,2180,455,759,23610
2019,1251,1088,1485,861,1365,2771,3507,11187,18222,4984,2579,895,50195
2020,1056,1150,1969,1966,1461,2793,4161,13924,25317,8869,2448,878,65992
2021,586,803,733,938,1628,2853,3296,10369,11116,4636,719,499,38176
2022,830,750,775,754,3295,2812,2975,8959,10357,818,-,-,32325
Máximo*,1251,1362,1969,1966,4435,12600,14710,25310,47688,15136,5459,2001,114952
Média*,628,566,753,887,1671,3756,4932,12589,18284,7366,1783,843,53870
Mínimo*,169,127,73,165,610,1530,1842,3625,5570,2180,455,190,23610
