,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,185,769,2817,9531,11339,3543,2043,30227
1999,490,272,241,111,100,169,583,2031,4126,6537,2561,1611,18832
2000,72,106,162,99,142,318,531,2036,5055,10018,3640,2023,24202
2001,121,116,7,43,292,342,1317,4485,12226,14927,8736,2413,45025
2002,270,630,306,253,350,523,2901,8169,16617,18400,15334,8249,72002
2003,2326,516,571,739,563,1470,4056,4667,22278,20040,16441,9669,83336
2004,963,306,377,371,737,1402,2661,5113,17932,16286,19339,13306,78793
2005,2445,578,442,331,313,1109,3093,5492,15823,23891,14851,8569,76937
2006,1593,691,499,176,298,870,2296,5105,9145,9959,12720,8203,51555
2007,2058,285,417,403,889,2774,5804,19547,27403,23376,13910,7243,104109
2008,1407,672,355,323,372,1010,2354,3418,10459,16631,15153,8842,60996
2009,1923,402,512,135,87,496,1856,3493,8801,7653,11908,6852,44118
2010,1513,692,651,379,836,2144,5176,13843,24257,14937,12672,4333,81433
2011,597,317,404,340,414,1592,2646,5665,16959,8527,8497,6080,52038
2012,1459,606,849,788,1188,2306,6419,16283,19031,14700,5050,4154,72833
2013,885,618,671,306,385,1137,2098,4065,9576,7099,4466,4322,35628
2014,868,196,347,321,482,1415,3475,8312,9606,10504,5763,3672,44961
2015,1240,396,377,378,439,1381,2662,8404,17949,16117,8278,6918,64539
2016,911,759,389,376,504,1281,3423,6704,6820,11450,7252,3332,43201
2017,671,237,276,236,350,1012,2737,5200,13025,11231,4753,4924,44652
2018,764,124,328,160,429,1355,2853,6135,8459,5988,4485,2511,33591
2019,1425,596,625,249,375,1295,2009,6276,9468,10264,7506,4069,44157
2020,670,358,198,251,391,1176,2817,3831,9927,12132,5638,3463,40852
2021,913,525,800,412,1115,1890,3164,7489,14784,11015,5759,2661,50527
2022,546,360,369,221,1063,1833,3314,6292,685,-,-,-,14683
Máximo*,2445,759,849,788,1188,2774,6419,19547,27403,23891,19339,13306,104109
Média*,1112,435,426,312,480,1194,2821,6608,13302,13043,9094,5394,54106
Mínimo*,72,106,7,43,87,169,531,2031,4126,5988,2561,1611,18832
