,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,530,886,1517,2656,1550,528,148,7815
1999,76,169,99,321,574,669,1025,2552,3853,2177,696,79,12290
2000,65,51,52,156,374,763,1153,1745,1691,2714,144,40,8948
2001,45,72,50,125,306,532,873,1603,2118,1022,237,99,7082
2002,50,86,178,287,426,800,1601,3378,4458,5843,658,394,18159
2003,128,397,298,485,802,2053,2676,3680,9093,6317,781,402,27112
2004,88,141,254,295,469,808,1425,3059,6807,3403,1412,419,18580
2005,97,247,314,462,663,792,1473,2954,2669,7661,775,316,18423
2006,307,291,330,460,1038,1294,2646,3456,4263,1100,377,245,15807
2007,161,304,591,437,917,1575,2056,4861,8093,6948,2633,540,29116
2008,168,144,234,312,609,515,1518,2128,3626,4594,1533,305,15686
2009,122,207,260,274,467,509,769,1165,1684,1267,445,193,7362
2010,249,482,283,311,534,1388,2097,6472,7549,2600,301,224,22490
2011,203,303,138,185,440,765,1619,3910,7760,1645,325,124,17417
2012,145,289,370,403,323,340,1043,1533,4039,4525,351,348,13709
2013,163,298,218,275,379,306,844,1676,2354,1359,387,187,8446
2014,234,341,160,255,414,703,1054,3452,4364,5780,445,204,17406
2015,376,193,145,188,199,373,503,1758,3247,3960,1492,350,12784
2016,131,259,262,548,382,512,1885,2697,2774,1171,172,152,10945
2017,146,173,194,122,194,449,1149,2494,5484,2698,231,100,13434
2018,113,87,247,150,481,537,1742,941,2574,916,115,196,8099
2019,293,199,237,184,252,678,1420,2303,5084,2500,1080,177,14407
2020,166,238,221,353,465,625,1258,2453,6089,3533,415,138,15954
2021,187,129,389,251,584,451,-,-,-,-,-,-,1991
Máximo*,376,482,591,548,1038,2053,2676,6472,9093,7661,2633,540,29116
Média*,160,226,233,299,487,762,1422,2686,4449,3273,675,234,14847
Mínimo*,45,51,50,122,194,306,503,941,1684,916,115,40,7082
