,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,38,59,51,127,234,192,713,1414
1999,81,59,85,51,71,40,106,1014,998,523,632,1453,5113
2000,189,118,148,59,47,55,125,936,444,721,122,268,3232
2001,55,40,24,47,32,45,131,404,278,250,204,210,1720
2002,332,67,56,97,75,119,1167,4961,4493,780,1545,614,14306
2003,360,182,300,668,1223,1242,1779,8109,5671,2958,1411,743,24646
2004,377,259,535,575,143,1023,1200,4488,3396,3015,1283,597,16891
2005,323,291,512,297,567,547,1183,4075,1184,519,1554,420,11472
2006,247,193,310,586,1065,731,2213,5080,2638,1154,553,212,14982
2007,129,151,229,273,246,842,1001,2858,2732,1059,627,362,10509
2008,167,197,171,329,732,298,1582,2005,1325,395,481,585,8267
2009,191,83,269,619,552,391,421,3940,371,981,199,117,8134
2010,70,106,107,242,133,365,786,3417,1254,798,497,301,8076
2011,81,39,111,173,365,504,689,1216,2713,568,444,236,7139
2012,150,154,299,181,567,476,744,2204,1016,424,424,171,6810
2013,123,82,122,340,290,219,722,1527,1271,467,295,283,5741
2014,159,109,109,136,211,180,502,2385,834,594,158,141,5518
2015,134,91,144,279,310,372,236,1403,949,226,51,76,4271
2016,248,69,116,221,152,676,2104,2971,2734,306,501,141,10239
2017,125,122,104,192,123,300,1876,1980,1889,233,622,249,7815
2018,70,195,117,394,426,272,720,1953,658,255,216,267,5543
2019,166,82,161,125,76,504,986,3730,1526,482,213,263,8314
2020,106,174,506,1074,1028,498,627,3182,1168,720,365,108,9556
2021,75,215,236,656,751,159,-,-,-,-,-,-,2092
Máximo*,377,291,535,1074,1223,1242,2213,8109,5671,3015,1554,1453,24646
Média*,176,130,206,316,383,423,911,2778,1725,768,547,371,8683
Mínimo*,55,39,24,47,32,38,59,51,127,226,51,76,1414
