,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,14,6,3,-,2,25
1999,-,-,2,-,-,2,2,43,65,16,31,1,162
2000,-,4,-,2,1,3,6,11,6,1,2,-,36
2001,-,-,-,1,-,3,12,32,16,11,-,-,75
2002,-,-,-,2,-,8,48,85,45,155,-,6,349
2003,-,12,1,10,30,29,97,157,110,30,10,3,489
2004,2,-,2,2,3,9,10,32,75,7,9,2,153
2005,1,2,3,3,7,5,14,70,9,27,5,1,147
2006,7,1,3,3,14,19,35,45,48,2,2,1,180
2007,-,8,11,3,8,10,18,44,48,55,-,1,206
2008,2,1,6,1,1,3,14,17,7,4,2,3,61
2009,-,4,1,2,4,6,3,21,-,10,4,-,55
2010,-,4,4,4,3,23,49,102,90,4,5,-,288
2011,-,1,3,3,2,14,23,57,69,19,3,1,195
2012,-,-,-,-,-,1,8,15,34,24,3,1,86
2013,-,-,2,1,6,2,7,32,39,7,5,-,101
2014,1,12,4,1,5,11,15,58,77,77,2,2,265
2015,2,-,-,-,1,6,6,29,19,14,4,1,82
2016,-,2,-,6,5,5,41,76,44,6,-,2,187
2017,-,-,1,1,-,4,23,35,138,9,5,-,216
2018,-,1,-,2,5,11,47,19,17,1,-,1,104
2019,1,2,3,2,2,7,22,34,22,15,5,-,115
2020,2,-,2,7,18,18,50,66,92,28,3,-,286
2021,-,-,1,-,5,3,39,94,52,-,-,-,194
2022,2,1,-,2,3,4,29,30,2,-,-,-,73
Máximo*,7,12,11,10,30,29,97,157,138,155,31,6,489
Média*,2,4,3,3,7,9,26,50,49,23,6,2,169
Mínimo*,1,1,1,1,1,1,2,11,6,1,2,1,25
