ANO,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TYPE,LAT,LONG
1998,0,0,0,0,0,1549,3192,20075,19214,8777,3833,2547,Amazônia,0,0
1999,160,358,130,70,449,1439,3675,21525,16106,12794,4449,1703,Amazônia,0,0
2000,87,182,405,92,930,3211,1510,12791,10062,10226,5497,3175,Amazônia,0,0
2001,165,699,1134,617,916,4227,1816,17679,15528,14292,8346,4256,Amazônia,0,0
2002,590,667,901,405,1490,5702,7529,43484,48549,27110,23660,9174,Amazônia,0,0
2003,3704,1573,1997,1038,1983,6848,15918,34765,47789,25341,19631,13813,Amazônia,0,0
2004,2178,805,1035,1012,3131,9179,19179,43320,71522,23928,26424,16924,Amazônia,0,0
2005,4314,1048,758,832,1746,2954,19364,63764,68560,26624,16790,6966,Amazônia,0,0
2006,1973,879,903,709,843,2522,6995,34208,51028,18309,17474,8579,Amazônia,0,0
2007,1918,1761,1431,760,1176,3519,6196,46385,73141,28731,16025,5437,Amazônia,0,0
2008,938,527,860,569,383,1248,5901,21445,26469,23518,15450,6145,Amazônia,0,0
2009,1095,354,584,435,673,1023,2327,9732,20527,19323,19104,6505,Amazônia,0,0
2010,1697,1147,1176,633,1026,1911,5868,45018,43933,14798,12167,5240,Amazônia,0,0
2011,771,271,427,465,528,1083,2445,8002,16987,9760,9815,7632,Amazônia,0,0
2012,1203,438,484,473,855,1875,3095,20687,24067,14814,13259,5469,Amazônia,0,0
2013,1181,374,738,518,796,1450,2531,9444,16786,10242,6615,8013,Amazônia,0,0
2014,1573,473,1010,632,673,1628,2766,20113,20522,13222,12169,7773,Amazônia,0,0
2015,2042,1047,572,762,407,1287,2817,20471,29326,19469,16935,11303,Amazônia,0,0
2016,4657,1559,2024,1075,895,1663,6120,18340,20460,14234,11610,5124,Amazônia,0,0
2017,796,379,736,618,805,1759,7986,21244,36569,14457,14105,7985,Amazônia,0,0
2018,1444,888,1359,513,772,1980,4788,10421,24803,10654,8881,1842,Amazônia,0,0
2019,1419,1368,3383,1702,854,1880,5318,30900,19925,7855,11297,3275,Amazônia,0,0
2020,1200,1196,1641,789,829,2248,6803,29307,25514,0,0,0,Amazônia,0,0
1998,0,0,0,0,0,0,0,9,31,109,5,62,Pampa,0,0
1999,46,19,35,10,8,6,7,7,8,51,31,1053,Pampa,0,0
2000,74,33,10,1,3,0,4,10,7,5,4,60,Pampa,0,0
2001,7,32,8,2,4,1,6,24,0,12,23,35,Pampa,0,0
2002,213,30,19,2,4,2,178,379,238,18,18,20,Pampa,0,0
2003,41,8,19,63,79,47,252,736,357,121,51,24,Pampa,0,0
2004,38,62,163,121,55,140,232,356,157,252,49,52,Pampa,0,0
2005,102,32,131,61,74,63,153,241,122,46,67,46,Pampa,0,0
2006,29,35,82,111,175,78,188,321,187,62,42,26,Pampa,0,0
2007,18,17,22,60,63,111,201,231,192,42,46,42,Pampa,0,0
2008,41,28,43,135,127,84,129,113,83,78,35,52,Pampa,0,0
2009,52,18,42,168,174,83,129,373,34,71,2,6,Pampa,0,0
2010,33,17,34,67,23,29,80,272,132,92,82,95,Pampa,0,0
2011,22,16,36,77,73,86,96,130,233,37,75,50,Pampa,0,0
2012,61,34,71,36,151,159,220,165,62,40,42,12,Pampa,0,0
2013,28,46,50,57,32,33,95,189,126,59,59,27,Pampa,0,0
2014,19,17,39,50,50,53,74,254,57,39,35,21,Pampa,0,0
2015,14,18,48,142,122,57,24,86,139,47,12,21,Pampa,0,0
2016,37,33,24,23,34,183,199,383,252,57,43,59,Pampa,0,0
2017,15,21,31,41,39,65,262,233,65,55,60,49,Pampa,0,0
2018,40,51,63,57,70,33,47,232,67,34,24,24,Pampa,0,0
2019,20,32,82,50,23,102,222,446,273,72,30,68,Pampa,0,0
2020,25,72,176,335,309,83,67,380,20,0,0,0,Pampa,0,0
1998,0,0,0,0,0,34,206,462,2642,4280,1185,494,Caatinga,0,0
1999,227,155,93,63,24,62,203,458,1117,2080,984,566,Caatinga,0,0
2000,16,41,68,56,38,46,73,399,1504,4744,1224,546,Caatinga,0,0
2001,40,38,5,30,205,108,390,895,3996,7157,4767,970,Caatinga,0,0
2002,93,263,148,123,146,125,277,1252,5099,7728,6193,3975,Caatinga,0,0
2003,967,201,191,187,60,108,340,1020,7234,8722,8451,5292,Caatinga,0,0
2004,458,94,104,93,115,83,199,976,4848,7707,7689,7400,Caatinga,0,0
2005,1283,264,137,65,49,80,287,610,3623,8151,7067,4533,Caatinga,0,0
2006,884,227,164,65,31,52,137,697,2550,3998,5253,4432,Caatinga,0,0
2007,1123,118,67,129,149,264,704,1878,5239,8515,6939,4266,Caatinga,0,0
2008,873,335,147,95,54,63,118,433,2888,6135,7325,5255,Caatinga,0,0
2009,1164,171,227,54,15,53,110,292,2746,3059,4866,3936,Caatinga,0,0
