ANO,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TYPE,LAT,LONG
1998,0,0,0,0,0,58,639,6816,6237,3666,1862,1009,Pará,0.0,0.0
1999,87,285,7,6,4,37,982,6179,4417,5026,2682,766,Pará,0.0,0.0
2000,30,29,181,40,12,59,426,5484,2569,4308,3366,1697,Pará,0.0,0.0
2001,34,16,0,0,7,42,709,9042,6136,5102,4936,2566,Pará,0.0,0.0
2002,144,120,14,11,18,149,1308,21369,11379,7848,12795,5083,Pará,0.0,0.0
2003,1440,23,28,14,112,403,3814,8875,12633,6673,10732,8293,Pará,0.0,0.0
2004,875,36,29,61,193,637,6620,17861,14249,7464,15958,10231,Pará,0.0,0.0
2005,2861,121,32,43,101,656,9464,23635,12728,8689,9368,3779,Pará,0.0,0.0
2006,855,110,18,11,8,423,1955,15064,13225,9346,9684,5141,Pará,0.0,0.0
2007,817,39,17,17,90,671,1885,21386,22055,8346,10114,3054,Pará,0.0,0.0
2008,240,99,11,12,30,328,3020,11035,9463,11568,9456,3187,Pará,0.0,0.0
2009,466,26,11,15,8,91,703,5386,8961,9444,12485,4068,Pará,0.0,0.0
2010,701,147,141,30,97,441,2065,21677,15187,6435,7544,2731,Pará,0.0,0.0
2011,219,25,16,10,21,199,1024,3040,6821,4588,5760,4840,Pará,0.0,0.0
2012,534,78,16,24,98,305,1041,9168,8190,5946,8871,2950,Pará,0.0,0.0
2013,291,47,20,29,74,323,793,3173,4363,5510,3844,5579,Pará,0.0,0.0
2014,570,30,17,23,55,284,813,8147,6636,6241,7908,4802,Pará,0.0,0.0
2015,866,92,31,22,84,241,882,7672,9394,7379,9783,6718,Pará,0.0,0.0
2016,1479,370,53,51,148,509,1732,5185,3878,5954,7314,3051,Pará,0.0,0.0
2017,213,14,18,42,121,486,3696,8781,15735,6146,9639,4879,Pará,0.0,0.0
2018,536,36,51,13,78,454,929,2782,4892,5028,6276,1005,Pará,0.0,0.0
2019,355,80,46,38,80,315,1443,10185,4618,3870,7390,1745,Pará,0.0,0.0
2020,225,64,63,38,88,491,2687,10865,8072,0,0,0,Pará,0.0,0.0
1998,0,0,0,0,0,1,5,4,49,55,41,17,Rio Grande do Norte,0.0,0.0
1999,32,10,9,21,1,4,7,38,35,40,61,29,Rio Grande do Norte,0.0,0.0
2000,1,7,10,16,3,9,4,30,17,28,9,11,Rio Grande do Norte,0.0,0.0
2001,2,0,0,10,56,13,23,55,43,34,40,20,Rio Grande do Norte,0.0,0.0
2002,4,17,3,0,6,1,11,52,74,181,223,259,Rio Grande do Norte,0.0,0.0
2003,123,20,4,1,6,12,13,108,118,344,462,336,Rio Grande do Norte,0.0,0.0
2004,43,8,0,3,5,9,5,18,59,120,211,344,Rio Grande do Norte,0.0,0.0
2005,161,51,23,3,5,2,9,13,43,215,278,198,Rio Grande do Norte,0.0,0.0
2006,106,21,18,4,4,1,2,19,54,89,232,184,Rio Grande do Norte,0.0,0.0
2007,78,11,5,6,12,1,14,33,74,133,219,188,Rio Grande do Norte,0.0,0.0
2008,90,39,5,3,2,2,1,4,21,80,147,203,Rio Grande do Norte,0.0,0.0
2009,116,13,2,5,0,0,2,1,26,89,181,224,Rio Grande do Norte,0.0,0.0
2010,37,20,28,9,2,2,9,30,58,105,262,66,Rio Grande do Norte,0.0,0.0
2011,15,3,5,0,2,0,0,10,30,94,153,152,Rio Grande do Norte,0.0,0.0
2012,66,16,12,4,17,5,4,28,36,75,90,79,Rio Grande do Norte,0.0,0.0
2013,23,26,7,8,2,2,0,3,6,63,71,39,Rio Grande do Norte,0.0,0.0
2014,32,7,4,2,1,1,2,19,26,69,109,45,Rio Grande do Norte,0.0,0.0
2015,38,14,3,5,4,6,3,16,33,115,87,78,Rio Grande do Norte,0.0,0.0
2016,13,2,2,2,1,5,10,23,38,109,98,75,Rio Grande do Norte,0.0,0.0
2017,27,13,3,6,2,2,3,14,28,84,103,66,Rio Grande do Norte,0.0,0.0
2018,23,6,12,3,1,6,8,47,71,87,128,64,Rio Grande do Norte,0.0,0.0
2019,20,5,2,1,0,1,4,52,81,235,230,99,Rio Grande do Norte,0.0,0.0
2020,37,5,3,2,0,1,7,30,53,0,0,0,Rio Grande do Norte,0.0,0.0
1998,0,0,0,0,0,2,72,320,263,82,6,196,Amazonas,0.0,0.0
1999,3,43,7,2,0,7,11,255,214,476,28,2,Amazonas,0.0,0.0
2000,7,62,69,18,51,6,39,180,193,145,27,60,Amazonas,0.0,0.0
2001,3,8,6,1,0,5,9,499,168,332,244,22,Amazonas,0.0,0.0
2002,17,2,5,2,8,5,338,1790,2916,1824,1221,267,Amazonas,0.0,0.0
2003,379,129,94,42,24,36,655,3017,2594,1851,780,590,Amazonas,0.0,0.0
2004,277,129,20,26,11,43,364,1850,2436,1564,988,375,Amazonas,0.0,0.0
2005,225,16,15,8,36,130,1894,5981,4931,1499,833,76,Amazonas,0.0,0.0
2006,79,31,30,28,20,156,574,3399,4254,2181,588,357,Amazonas,0.0,0.0
2007,106,167,14,18,16,180,607,3990,3521,1663,833,178,Amazonas,0.0,0.0
2008,45,48,25,35,12,42,457,2538,1716,1156,533,94,Amazonas,0.0,0.0
2009,34,9,19,11,4,31,246,1799,3595,2409,983,140,Amazonas,0.0,0.0
2010,93,76,64,9,37,113,788,5261,4021,1137,400,140,Amazonas,0.0,0.0
2011,59,6,23,7,16,32,330,1543,1524,844,502,142,Amazonas,0.0,0.0
2012,8,8,5,8,15,58,316,3616,2731,1484,749,116,Amazonas,0.0,0.0
2013,43,4,23,26,21,81,359,1981,2204,1235,258,277,Amazonas,0.0,0.0
2014,71,17,30,20,17,73,253,3604,3148,794,692,289,Amazonas,0.0,0.0
2015,38,71,25,20,11,34,365,4235,5004,2233,909,474,Amazonas,0.0,0.0
2016,654,252,105,13,26,84,1087,3652,2785,1913,497,105,Amazonas,0.0,0.0
2017,62,21,24,15,33,95,1534,4793,3185,1190,486,247,Amazonas,0.0,0.0
2018,46,93,54,14,19,123,1346,2589,4928,1725,472,37,Amazonas,0.0,0.0
2019,35,90,114,10,21,57,1371,6668,3026,548,573,163,Amazonas,0.0,0.0
2020,197,73,77,12,15,122,2119,8030,3078,0,0,0,Amazonas,0.0,0.0
1998,0,0,0,0,0,55,219,813,2719,1970,49,82,Bahia,0.0,0.0
1999,114,157,83,55,76,62,107,453,1273,1308,49,37,Bahia,0.0,0.0
2000,31,32,65,23,71,176,199,629,2284,3350,114,24,Bahia,0.0,0.0
2001,25,101,4,26,84,98,245,978,3957,1687,699,158,Bahia,0.0,0.0
2002,124,204,146,108,164,116,611,1812,7167,5415,1169,1012,Bahia,0.0,0.0
2003,560,306,401,512,226,362,557,1078,9547,4515,655,865,Bahia,0.0,0.0
2004,201,193,179,200,251,306,355,1512,7395,5701,2016,674,Bahia,0.0,0.0
2005,414,227,234,180,168,240,424,1141,4244,9031,1801,343,Bahia,0.0,0.0
2006,315,433,291,117,172,220,482,1318,3171,2395,810,494,Bahia,0.0,0.0
2007,451,136,249,240,417,619,1375,4270,10076,7548,3308,779,Bahia,0.0,0.0
2008,376,281,201,229,217,207,554,1032,4961,7949,4599,175,Bahia,0.0,0.0
2009,227,175,329,56,48,117,340,450,3580,2742,525,367,Bahia,0.0,0.0
2010,368,272,192,136,254,430,663,2635,5780,5375,694,264,Bahia,0.0,0.0
