,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,303,477,687,1678,1260,522,323,5250
1999,299,273,310,163,368,303,563,2581,3306,1688,1222,520,11596
2000,241,186,219,135,204,432,598,1746,1100,2369,230,237,7697
2001,87,120,40,92,185,244,590,1159,1418,997,495,311,5738
2002,251,226,209,352,263,485,1829,6548,6764,4897,2441,1673,25938
2003,1151,683,834,1263,1744,2500,3144,9826,11963,7588,2148,1589,44433
2004,572,469,712,692,318,1335,1558,5778,7396,5344,2624,1317,28115
2005,752,578,867,551,907,939,1721,5494,2632,5719,2331,785,23276
2006,617,783,744,781,1510,1433,3651,6807,5120,1884,1006,547,24883
2007,400,450,672,569,710,1532,1940,5055,7170,6451,3283,979,29211
2008,490,527,478,489,1019,523,2436,3209,4094,3983,2154,930,20332
2009,507,333,619,660,625,687,723,4198,1831,2317,815,626,13941
2010,537,657,390,387,430,1099,1718,6473,5026,2562,835,496,20610
2011,274,363,323,254,552,855,1450,3191,7050,1836,618,444,17210
2012,317,455,690,609,687,500,1052,2810,3082,3077,763,660,14702
2013,412,430,549,488,478,356,1087,2280,2839,1454,509,506,11388
2014,423,437,256,317,445,487,965,3912,3493,4171,432,366,15704
2015,642,389,384,371,349,539,528,2414,3219,2991,1852,1251,14929
2016,579,457,536,732,437,901,3155,4165,4146,1210,763,439,17520
2017,385,309,330,261,187,531,2285,3201,4939,2003,818,348,15597
2018,209,264,323,490,699,613,1813,2338,2309,1243,450,547,11298
2019,608,607,661,276,240,814,1712,4689,4333,2184,1499,554,18177
2020,421,454,549,1013,1028,802,1323,4079,2698,-,-,-,12367
Máximo*,1151,783,867,1263,1744,2500,3651,9826,11963,7588,3283,1673,44433
Média*,464,428,483,473,588,791,1591,4026,4314,3056,1264,702,18070
Mínimo*,87,120,40,92,185,244,477,687,1100,997,230,237,5250
