,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2,17,48,31,3,-,-,101
1999,-,2,-,-,-,3,4,15,12,8,1,-,45
2000,-,-,-,-,2,1,15,9,3,17,-,-,47
2001,-,1,-,-,-,3,22,25,13,-,-,1,65
2002,-,-,-,1,1,7,38,49,41,22,1,1,161
2003,-,1,-,-,1,32,50,43,22,12,-,-,161
2004,-,-,-,2,11,5,46,110,116,22,-,-,312
2005,-,-,-,-,4,4,38,46,25,18,5,-,140
2006,-,-,-,1,9,10,38,64,17,1,-,-,140
2007,1,-,1,3,16,59,87,197,99,22,-,-,485
2008,-,-,2,1,7,11,39,71,56,8,6,-,201
2009,1,-,-,-,15,6,32,37,4,4,-,-,99
2010,1,5,2,8,22,78,100,181,204,10,1,1,613
2011,-,2,-,1,5,18,54,55,135,-,-,-,270
2012,-,-,-,4,-,4,27,51,67,16,-,-,169
2013,-,1,1,-,2,5,25,33,33,3,-,2,105
2014,-,1,1,2,9,6,28,96,67,31,-,-,241
2015,1,-,-,-,2,1,15,53,64,17,2,-,155
2016,-,1,1,4,13,37,78,35,51,8,1,-,229
2017,1,-,-,1,6,5,28,118,77,51,-,-,287
2018,-,-,-,-,2,1,29,15,41,-,-,-,88
2019,4,1,-,-,-,6,30,29,116,27,-,-,213
2020,2,2,-,5,5,11,25,22,59,-,-,-,131
Máximo*,4,5,2,8,22,78,100,197,204,51,6,2,613
Média*,2,2,1,3,7,14,38,63,59,16,2,1,197
Mínimo*,1,1,1,1,1,1,4,9,3,1,1,1,45
