,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,2200,3711,15404,10360,2705,182,76,34638
1999,39,28,18,76,730,2201,3926,18563,11726,6111,842,47,44307
2000,44,35,60,59,1192,4358,1335,6059,6251,6063,502,98,26056
2001,44,54,24,309,1191,6641,1554,7755,8487,6544,373,37,33013
2002,172,22,103,641,2522,7879,6932,16911,18707,10863,3247,1127,69126
2003,883,566,541,930,2765,9038,12311,12841,19936,6660,2443,1646,70560
2004,261,397,822,946,4053,11530,13214,16025,34088,11405,2825,1446,97012
2005,440,951,423,1010,2259,2696,6543,18153,27674,9852,1539,564,72104
2006,1000,414,474,428,1013,2398,4561,9975,17382,2818,2711,305,43479
2007,470,280,679,809,1546,3552,4217,18331,37231,11291,1025,537,79968
2008,232,208,227,358,522,1147,2497,5259,9639,7778,984,597,29448
2009,615,203,379,255,601,1148,1730,2326,3692,3173,730,207,15059
2010,327,440,663,893,1382,2186,4037,17459,24140,5433,920,1133,59013
2011,206,147,301,467,640,1074,1066,2652,6634,2533,1198,453,17371
2012,179,200,419,560,958,1933,2120,6429,10620,3475,488,572,27953
2013,276,374,636,411,962,1388,1711,3739,5915,1828,906,408,18554
2014,244,134,481,658,803,1696,2112,6418,6569,4657,836,347,24955
2015,720,396,517,638,437,1328,1461,4498,8933,5730,1670,1413,27741
2016,300,763,934,1351,929,1306,3301,6168,8284,2715,855,399,27305
2017,457,295,698,708,844,1476,2100,4578,14840,3738,928,249,30911
2018,317,266,766,426,985,1623,1816,2650,6638,1711,363,471,18032
2019,576,709,1188,708,1118,2151,2326,8030,10747,1774,1176,666,31169
2020,768,806,1270,992,951,1960,2429,10430,16826,-,-,-,36432
Máximo*,1000,951,1188,1351,4053,11530,13214,18563,37231,11405,3247,1646,97012
Média*,372,328,493,602,1307,3225,3845,9556,14022,5403,1216,582,40808
Mínimo*,39,22,18,59,437,1074,1066,2326,3692,1711,182,37,15059
