,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,70,231,878,1977,1091,31,21,4299
1999,36,112,13,27,51,133,319,1193,2687,1361,271,32,6235
2000,24,20,24,49,67,135,345,770,1080,1954,43,14,4525
2001,18,39,13,60,83,165,265,858,1597,529,62,44,3733
2002,29,62,62,99,98,207,888,2142,3818,4660,486,280,12831
2003,47,181,123,265,369,1065,1465,2094,7489,5540,508,280,19426
2004,29,36,125,161,237,303,831,1865,5288,3062,1066,226,13229
2005,52,106,157,227,230,336,874,1520,2301,7145,548,206,13702
2006,168,135,103,153,379,444,1277,1948,3077,815,195,138,8832
2007,115,99,263,188,473,884,1429,3681,6800,5880,2306,396,22514
2008,99,84,113,172,285,283,767,1448,2765,4299,1436,137,11888
2009,82,104,132,61,200,216,515,702,1380,1128,310,106,4936
2010,132,185,121,144,246,619,1040,3634,5200,2196,119,130,13766
2011,112,131,82,97,201,387,889,2445,5930,1251,192,49,11766
2012,90,140,181,201,178,245,701,919,2919,4038,258,238,10108
2013,93,161,136,80,182,191,512,933,1618,1157,244,80,5387
2014,130,121,62,145,208,344,537,1791,3154,4373,349,123,11337
2015,127,69,62,85,109,192,272,962,2631,3393,1340,248,9490
2016,37,127,91,166,178,241,986,1563,1979,911,113,90,6482
2017,99,54,99,67,124,233,471,1610,3084,2336,145,61,8383
2018,62,60,107,56,153,201,557,553,1860,840,86,92,4627
2019,142,111,127,85,143,322,808,1369,3833,2049,892,118,9999
2020,80,114,82,83,166,272,536,1155,2258,-,-,-,4746
Máximo*,168,185,263,265,473,1065,1465,3681,7489,7145,2306,396,22514
Média*,82,102,105,123,200,328,726,1585,3294,2728,500,141,9886
Mínimo*,18,20,13,27,51,70,231,553,1080,529,31,14,3733
