,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,3,-,3,50,178,47,53,334
1999,26,2,1,3,-,1,1,4,14,49,38,40,179
2000,-,11,5,1,-,1,-,6,9,127,66,34,260
2001,11,6,-,-,4,-,9,34,98,278,296,70,806
2002,5,18,3,1,1,1,9,51,93,219,250,167,818
2003,77,3,1,2,2,-,13,15,94,427,604,324,1562
2004,38,1,3,3,3,-,3,24,52,205,391,385,1108
2005,169,22,16,4,-,-,1,1,13,172,305,301,1004
2006,85,10,8,1,-,2,2,8,32,136,391,339,1014
2007,77,13,2,1,-,-,6,14,31,165,429,249,987
2008,88,20,6,2,-,-,1,3,22,109,299,317,867
2009,126,13,4,5,-,-,4,3,29,116,464,292,1056
2010,52,15,18,2,12,3,7,13,42,166,544,82,956
2011,12,2,11,3,-,4,6,12,53,225,406,208,942
2012,54,19,11,13,8,5,4,19,58,148,139,70,548
2013,39,11,5,7,4,3,1,3,21,53,87,72,306
2014,64,5,16,7,1,-,9,28,49,67,91,58,395
2015,36,15,6,11,6,-,2,5,47,113,190,109,540
2016,16,3,3,1,1,3,20,50,111,283,130,87,708
2017,23,8,4,1,1,-,1,2,22,102,114,85,363
2018,42,3,3,4,1,1,3,45,70,209,185,193,759
2019,42,7,4,-,3,2,4,41,139,332,351,259,1184
2020,63,16,3,1,-,4,5,50,109,-,-,-,251
Máximo*,169,22,18,13,12,5,20,51,139,427,604,385,1562
Média*,54,10,6,4,4,2,5,17,52,176,264,172,759
Mínimo*,5,1,1,1,1,1,1,1,9,49,38,34,179
