,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,36,59,42,61,61,143,82,484
1999,7,22,40,39,57,31,94,939,878,451,445,254,3257
2000,49,67,51,51,43,53,98,850,381,656,85,159,2543
2001,32,8,12,43,26,43,120,343,258,211,89,85,1270
2002,47,24,18,84,65,115,439,2216,2451,675,853,363,7350
2003,177,100,139,245,552,799,678,2770,2867,1480,720,339,10866
2004,206,92,169,172,45,394,418,1989,1810,967,556,314,7132
2005,76,158,140,100,248,223,495,1894,546,175,764,204,5023
2006,109,95,92,187,452,396,891,1681,1141,562,205,69,5880
2007,41,73,127,111,121,524,440,1187,1212,663,345,154,4998
2008,59,91,69,88,289,109,705,954,653,103,242,300,3662
2009,63,39,122,178,179,196,78,1287,198,508,120,57,3025
2010,22,58,39,99,102,286,419,1220,419,429,245,60,3398
2011,35,18,40,64,197,274,420,582,1156,308,192,102,3388
2012,46,77,88,63,160,132,203,821,544,227,219,88,2668
2013,49,20,36,137,134,97,311,701,545,238,113,150,2531
2014,70,57,40,37,111,114,213,664,420,373,59,75,2233
2015,87,42,43,77,74,201,131,640,604,142,23,23,2087
2016,124,20,63,162,77,261,552,994,1428,166,260,44,4151
2017,53,64,45,103,47,138,708,789,1120,108,319,98,3592
2018,16,75,21,158,241,158,481,672,310,112,116,151,2511
2019,92,24,45,59,47,266,418,1144,731,310,97,81,3314
2020,39,49,147,309,319,238,337,801,466,-,-,-,2705
Máximo*,206,158,169,245,552,799,891,2770,2867,1480,853,363,10866
Média*,70,58,69,107,156,220,380,1108,897,406,282,148,3880
Mínimo*,7,8,12,37,26,31,59,42,61,61,23,23,484
