,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,-,-,9,60,169,28,605,871
1999,63,35,38,12,13,9,10,24,19,56,103,1110,1492
2000,126,43,51,1,4,-,6,18,27,10,18,80,384
2001,12,32,11,3,4,1,6,36,2,13,49,80,249
2002,263,38,26,6,7,4,405,1482,853,31,138,108,3361
2003,91,18,50,133,179,104,687,2728,1163,595,209,175,6132
2004,108,103,225,218,58,260,539,1142,643,992,273,168,4729
2005,186,54,183,81,144,127,296,824,430,119,290,133,2867
2006,64,63,128,172,267,115,615,1537,728,213,136,78,4116
2007,61,41,34,115,89,156,375,823,749,151,118,110,2822
2008,71,47,70,182,226,113,439,466,273,214,107,152,2360
2009,88,26,82,302,271,118,267,1520,91,187,12,24,2988
2010,42,29,43,107,28,39,196,1086,458,178,134,175,2515
2011,26,20,53,88,83,109,188,284,785,109,152,82,1979
2012,79,43,100,61,247,233,439,665,198,134,85,38,2322
2013,47,51,56,98,58,41,196,372,356,113,102,57,1547
2014,38,27,52,64,60,63,206,1200,212,98,54,31,2105
2015,29,34,70,166,166,70,59,381,185,63,20,35,1278
2016,60,47,33,26,39,311,942,1182,629,84,97,77,3527
2017,26,31,39,61,41,96,707,633,278,85,139,82,2218
2018,45,72,74,86,108,62,78,707,222,69,47,45,1615
2019,33,48,94,54,26,134,379,1647,523,104,53,101,3196
2020,32,89,227,457,423,158,201,1404,48,-,-,-,3039
Máximo*,263,103,225,302,271,311,942,2728,1163,992,290,1110,6132
Média*,74,43,72,97,101,108,335,853,404,172,107,161,2485
Mínimo*,12,18,11,1,4,1,6,9,2,10,12,24,249
