,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,451,597,580,525,433,487,121,3194
1999,7,47,78,291,500,522,683,1210,910,763,400,47,5458
2000,36,25,27,102,300,605,770,915,581,647,96,23,4127
2001,26,25,35,61,211,345,539,587,423,441,168,52,2913
2002,19,19,111,178,319,562,645,909,483,700,129,78,4152
2003,67,185,96,165,385,757,885,1194,1104,475,208,78,5599
2004,56,91,122,112,215,448,529,1012,1104,248,230,167,4334
2005,25,131,131,213,401,396,525,1161,291,264,206,91,3835
2006,108,92,187,285,587,667,1011,1096,840,233,171,95,5372
2007,43,179,267,202,392,611,423,754,779,601,130,95,4476
2008,47,34,110,132,282,178,579,489,589,120,86,150,2796
2009,33,87,108,199,219,231,159,347,148,105,81,48,1765
2010,56,184,153,148,254,635,943,2444,1923,327,153,72,7292
2011,76,77,47,76,217,318,581,1159,1211,250,110,64,4186
2012,49,110,139,121,108,63,235,521,908,259,74,79,2666
2013,51,101,61,172,170,70,243,602,590,133,106,93,2392
2014,67,97,58,93,178,312,462,1440,843,852,48,40,4490
2015,86,37,45,70,63,144,139,627,344,199,18,40,1812
2016,56,107,65,293,138,196,734,840,506,172,35,45,3187
2017,21,88,78,37,45,152,616,734,1930,134,35,35,3905
2018,41,26,126,85,317,292,1070,350,598,27,16,73,3021
2019,90,35,85,78,81,290,393,742,872,308,60,40,3074
2020,69,103,127,252,262,262,558,1111,1748,-,-,-,4492
Máximo*,108,185,267,293,587,757,1070,2444,1930,852,487,167,7292
Média*,50,85,101,148,256,375,580,896,796,350,138,74,3820
Mínimo*,7,19,27,37,45,63,139,347,148,27,16,23,1765
