,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,4,37,172,620,50,-,8,891
1999,-,2,-,-,-,-,1,114,269,86,4,-,476
2000,-,1,13,2,1,1,1,190,340,48,-,-,597
2001,-,-,-,-,-,1,4,494,318,154,1,2,974
2002,-,1,-,-,-,12,85,1555,5567,1236,178,4,8638
2003,17,1,-,6,18,23,531,3680,7371,1327,54,8,13036
2004,1,5,-,10,26,18,127,1262,7272,924,50,12,9707
2005,24,3,7,4,20,95,1307,8948,8581,1286,80,8,20363
2006,7,1,2,3,63,42,227,1945,4876,796,91,-,8053
2007,1,19,5,8,20,99,232,2419,7799,1496,49,3,12150
2008,5,1,4,1,29,31,208,1997,4600,1139,95,4,8114
2009,-,2,1,2,11,12,79,530,2912,1459,73,5,5086
2010,6,-,4,17,58,84,324,3760,6620,739,101,6,11719
2011,3,-,-,9,19,33,223,1018,2698,410,180,10,4603
2012,7,2,5,4,26,24,190,1533,3936,932,59,7,6725
2013,5,5,1,65,17,28,130,1379,4538,430,200,10,6808
2014,-,-,8,19,1,35,121,1577,3205,705,103,17,5791
2015,10,6,5,8,6,66,161,1891,3959,1273,180,15,7580
2016,20,6,2,15,33,156,791,3164,4884,716,62,21,9870
2017,1,5,1,2,11,59,458,1608,4078,1843,125,20,8211
2018,1,2,1,9,30,68,492,1728,5408,539,49,9,8336
2019,5,1,4,12,46,83,347,3874,3797,592,64,2,8827
2020,20,2,13,9,67,101,409,4483,3382,-,-,-,8486
Máximo*,24,19,13,65,63,156,1307,8948,8581,1843,200,21,20363
Média*,8,4,4,11,24,46,276,2038,4257,826,90,9,7571
Mínimo*,1,1,1,1,1,1,1,114,269,48,1,2,476
