,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,342,1753,13270,15944,6056,2004,1354,40723
1999,142,351,123,36,32,173,1506,9763,11330,8862,2825,860,36003
2000,72,160,399,59,155,400,1089,9964,8046,6236,3691,1891,32162
2001,157,678,1113,400,72,383,1631,14328,13462,7256,5855,3279,48614
2002,512,657,872,96,183,694,3585,33263,41759,19099,16917,6103,123740
2003,2749,1241,1646,517,556,1563,8081,25687,37595,19480,13658,10165,122938
2004,1804,544,558,508,825,2191,10360,32049,52442,17509,19837,12603,151230
2005,3652,420,531,242,517,1901,16008,52898,51224,20258,12512,4295,164458
2006,1209,622,606,451,400,1715,4804,28432,40201,16408,12438,6304,113590
2007,1330,1584,1140,373,918,2694,5249,40064,55304,21095,12741,3458,145950
2008,711,397,747,403,357,1241,5129,19740,22348,20438,12190,3564,87265
2009,665,283,374,331,414,610,2166,9365,19690,16829,15594,4778,71099
2010,1383,917,883,542,877,2602,6909,43835,43523,12899,9247,3367,126984
2011,614,198,239,309,494,1224,2824,8267,17532,9180,7562,5927,54370
2012,836,326,310,350,674,1407,3406,20745,24135,14581,11587,3948,82305
2013,893,169,402,405,543,1362,2812,9128,15047,10443,5371,6435,53010
2014,1324,440,705,422,747,1829,2744,18685,18698,12749,10130,6235,74708
2015,1565,801,309,429,611,1562,2989,19691,27301,18633,14200,8477,96568
2016,4235,1199,1515,615,999,1980,6963,18183,17683,13601,10029,4012,81014
2017,485,202,395,317,847,1684,8428,20742,33341,13257,12539,6010,98247
2018,1188,713,925,358,762,1688,4754,10120,22169,10229,7743,1380,62029
2019,895,900,2705,1423,895,2010,5472,28439,18934,7383,9207,2296,80559
2020,868,737,986,473,657,2017,6941,27304,21157,-,-,-,61140
Máximo*,4235,1584,2705,1423,999,2694,16008,52898,55304,21095,19837,12603,164458
Média*,1258,610,786,409,566,1421,4939,22121,27623,13749,10358,4852,88526
Mínimo*,72,160,123,36,32,173,1089,8267,8046,6056,2004,860,32162
