,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,6,37,38,110,20,4,5,220
1999,33,10,8,2,16,6,9,60,64,23,9,-,240
2000,5,5,1,3,2,9,16,26,14,88,3,3,175
2001,1,5,2,2,8,9,12,31,38,19,3,1,131
2002,2,4,4,2,5,18,16,76,76,151,26,22,402
2003,12,14,46,31,16,76,91,142,276,185,55,32,976
2004,-,8,2,10,4,2,14,31,77,53,56,10,267
2005,7,1,11,9,7,9,15,30,10,84,3,13,199
2006,13,53,26,6,16,35,57,90,103,18,4,10,431
2007,3,5,16,16,23,34,70,96,92,172,185,45,757
2008,20,23,7,6,9,25,36,57,95,116,9,9,412
2009,3,13,14,6,8,16,28,21,62,14,23,31,239
2010,55,27,5,13,11,25,6,39,65,34,3,12,295
2011,6,49,5,8,7,15,27,83,115,35,8,6,364
2012,-,27,38,76,25,21,45,17,39,66,7,23,384
2013,14,21,18,19,13,24,29,58,28,32,11,8,275
2014,11,16,15,8,15,8,11,36,52,82,17,25,296
2015,77,59,23,25,11,16,25,28,198,290,131,57,940
2016,37,19,103,49,42,45,38,75,112,60,7,12,599
2017,14,7,9,7,9,23,3,26,31,46,12,-,187
2018,6,1,9,7,4,12,41,9,51,36,11,18,205
2019,25,32,22,21,10,19,78,35,171,73,123,13,622
2020,10,11,6,8,11,51,34,25,73,-,-,-,229
Máximo*,77,59,103,76,42,76,91,142,276,290,185,57,976
Média*,18,19,18,16,12,21,32,50,85,77,32,18,392
Mínimo*,1,1,1,2,2,2,3,9,10,14,3,1,131
