,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,-,252,640,3748,5154,1736,1,9,11540
1999,36,1,1,9,25,114,373,1284,3421,1378,29,16,6687
2000,15,6,4,-,69,280,503,1952,2552,1057,96,20,6554
2001,19,6,-,19,49,303,834,2239,4845,682,100,21,9117
2002,36,48,33,39,139,397,1126,3313,6981,2137,226,72,14547
2003,51,12,21,81,293,869,1502,1553,5640,1772,197,133,12124
2004,41,9,32,122,558,1186,1541,2036,6748,2154,569,151,15147
2005,75,34,22,107,295,766,1558,2781,6319,3779,384,94,16214
2006,146,19,19,21,204,870,1031,2066,3831,1660,339,93,10299
2007,62,11,148,136,730,1450,1955,5963,10066,4366,411,91,25389
2008,45,14,4,63,250,769,1008,1679,2937,3547,371,66,10753
2009,67,32,36,16,103,441,1000,1141,2279,902,353,58,6428
2010,101,51,125,431,632,1783,2970,8299,11611,2635,365,97,29100
2011,25,13,36,120,379,788,1006,1582,4609,1741,203,135,10637
2012,14,51,83,243,487,940,1655,4269,7015,3874,243,170,19044
2013,59,37,63,162,411,895,1398,1805,2512,2194,320,79,9935
2014,90,55,41,172,585,1343,1364,2790,3339,3673,423,200,14075
2015,196,48,66,65,487,1118,1198,2451,4470,4518,770,318,15705
2016,30,318,132,340,725,1100,2607,3213,3073,2255,586,115,14494
2017,57,24,79,161,626,906,1823,2540,6625,2255,496,81,15673
2018,97,16,64,127,599,914,1321,1361,1796,1371,201,166,8033
2019,84,78,82,209,690,1406,1598,2916,4505,1462,376,219,13625
2020,75,77,111,221,446,1188,1361,1714,3234,-,-,-,8427
Máximo*,196,318,148,431,730,1783,2970,8299,11611,4518,770,318,29100
Média*,64,42,55,132,397,859,1364,2772,5015,2325,321,109,13415
Mínimo*,14,1,1,9,25,114,373,1141,1796,682,1,9,6428
