"ANO","MÊS","VALOR","TYPE","LAT","LONG"
"1998","JANEIRO","0","Amazônia","0","0"
"1998","FEVEREIRO","0","Amazônia","0","0"
"1998","MARÇO","0","Amazônia","0","0"
"1998","ABRIL","0","Amazônia","0","0"
"1998","MAIO","0","Amazônia","0","0"
"1998","JUNHO","1549","Amazônia","0","0"
"1998","JULHO","3192","Amazônia","0","0"
"1998","AGOSTO","20075","Amazônia","0","0"
"1998","SETEMBRO","19214","Amazônia","0","0"
"1998","OUTUBRO","8777","Amazônia","0","0"
"1998","NOVEMBRO","3833","Amazônia","0","0"
"1998","DEZEMBRO","2547","Amazônia","0","0"
"1999","JANEIRO","160","Amazônia","0","0"
"1999","FEVEREIRO","358","Amazônia","0","0"
"1999","MARÇO","130","Amazônia","0","0"
"1999","ABRIL","70","Amazônia","0","0"
"1999","MAIO","449","Amazônia","0","0"
"1999","JUNHO","1439","Amazônia","0","0"
"1999","JULHO","3675","Amazônia","0","0"
"1999","AGOSTO","21525","Amazônia","0","0"
"1999","SETEMBRO","16106","Amazônia","0","0"
"1999","OUTUBRO","12794","Amazônia","0","0"
"1999","NOVEMBRO","4449","Amazônia","0","0"
"1999","DEZEMBRO","1703","Amazônia","0","0"
"2000","JANEIRO","87","Amazônia","0","0"
"2000","FEVEREIRO","182","Amazônia","0","0"
"2000","MARÇO","405","Amazônia","0","0"
"2000","ABRIL","92","Amazônia","0","0"
"2000","MAIO","930","Amazônia","0","0"
"2000","JUNHO","3211","Amazônia","0","0"
"2000","JULHO","1510","Amazônia","0","0"
"2000","AGOSTO","12791","Amazônia","0","0"
"2000","SETEMBRO","10062","Amazônia","0","0"
"2000","OUTUBRO","10226","Amazônia","0","0"
"2000","NOVEMBRO","5497","Amazônia","0","0"
"2000","DEZEMBRO","3175","Amazônia","0","0"
"2001","JANEIRO","165","Amazônia","0","0"
"2001","FEVEREIRO","699","Amazônia","0","0"
"2001","MARÇO","1134","Amazônia","0","0"
"2001","ABRIL","617","Amazônia","0","0"
"2001","MAIO","916","Amazônia","0","0"
"2001","JUNHO","4227","Amazônia","0","0"
"2001","JULHO","1816","Amazônia","0","0"
"2001","AGOSTO","17679","Amazônia","0","0"
"2001","SETEMBRO","15528","Amazônia","0","0"
"2001","OUTUBRO","14292","Amazônia","0","0"
"2001","NOVEMBRO","8346","Amazônia","0","0"
"2001","DEZEMBRO","4256","Amazônia","0","0"
"2002","JANEIRO","590","Amazônia","0","0"
"2002","FEVEREIRO","667","Amazônia","0","0"
"2002","MARÇO","901","Amazônia","0","0"
"2002","ABRIL","405","Amazônia","0","0"
"2002","MAIO","1490","Amazônia","0","0"
"2002","JUNHO","5702","Amazônia","0","0"
"2002","JULHO","7529","Amazônia","0","0"
"2002","AGOSTO","43484","Amazônia","0","0"
"2002","SETEMBRO","48549","Amazônia","0","0"
"2002","OUTUBRO","27110","Amazônia","0","0"
"2002","NOVEMBRO","23660","Amazônia","0","0"
